ward_jis,ward_name,access_raw,access_z
13101,千代田区,10,-0.6244300186410524
13102,中央区,12,-0.1892212177700159
13103,港区,20,1.55161398571413
13104,新宿区,18,1.1164051848430934
13105,文京区,9,-0.8420344190765706
13106,台東区,8,-1.059638819512089
13107,墨田区,7,-1.2772432199476071
13108,江東区,11,-0.40682561820553415
13109,品川区,13,0.02838318266550231
13110,目黒区,14,0.24598758310102053
13111,大田区,16,0.681196383972057
13112,世田谷区,25,2.639635987891721
13113,渋谷区,19,1.3340095852786116
13114,中野区,15,0.46359198353653874
13115,杉並区,17,0.8988007844075753
13116,豊島区,12,-0.1892212177700159
13117,北区,11,-0.40682561820553415
13118,荒川区,8,-1.059638819512089
13119,板橋区,10,-0.6244300186410524
13120,練馬区,14,0.24598758310102053
13121,足立区,9,-0.8420344190765706
13122,葛飾区,8,-1.059638819512089
13123,江戸川区,10,-0.6244300186410524
