ward_jis,ward_jp,ward_en,fwc_pct,avg_members,avg_members_norm,park_m2_per_resident,park_norm,programs_per_10k,programs_norm,loans_per_resident,loans_norm,assault_per_10k,assault_norm,FCFI
13101,千代田区,Chiyoda,19.516814111408706,1.79,46.15384615384617,25.628524295140974,100.0,10.497900419916016,64.83562925115669,11.72233053389322,67.14420156671078,20.54589082183563,100.0,35.0
13102,中央区,Chuo,20.425573323818483,1.82,51.92307692307695,3.7864155716726073,12.120994537107748,10.698727383422293,66.1746351534261,9.71910225264365,49.7625188995186,7.093078928235774,27.27386403168778,24.94
13103,港区,Minato,19.13488130116919,1.77,42.30769230769232,5.414456055219858,18.67121275819625,2.1498276298918175,9.175181354837711,7.907096734565389,34.0400447305781,9.635834555407968,41.0200453459373,16.2
13104,新宿区,Shinjuku,13.004976153123469,1.55,0.0,3.3534811168195544,10.379136651278841,1.1734905619874922,2.6654922488355557,7.806771899194299,33.16954261737369,15.91367688939136,74.95817060777283,4.64
13105,文京区,Bunkyo,19.647509808032105,1.77,42.30769230769232,2.303829315738392,6.15599329414337,8.747485098034316,53.16480374794107,15.50894117941092,100.0,3.124101820726541,5.817504494455361,27.21
13106,台東区,Taito,15.378793487828753,1.7,28.84615384615384,3.6602173625167893,11.613251752186278,8.039953841206183,48.44736684408949,7.827717977336789,33.35128829598795,11.303229223813398,50.03401003424034,15.59
13107,墨田区,Sumida,19.347018384852586,1.85,57.69230769230772,2.8853115754267966,8.495514780950526,1.8009078045463736,6.8487721048081,5.181274234154768,10.388530745524204,4.2266203576088355,11.777738953619453,15.9
13108,江東区,Koto,24.11713256926065,1.97,80.76923076923079,9.849859815757853,36.516507653356776,1.6783963685605843,6.031931910561245,10.209173961969064,54.01479060284603,3.1469931910510955,5.941255642088412,29.33
13109,品川区,Shinagawa,18.813040383748795,1.77,42.30769230769232,3.2578156065971107,9.994238379693206,12.450057753119616,77.85156170206204,6.913883944632747,25.422100536600844,3.195357027891917,6.202711388430051,22.57
13110,目黒区,Meguro,19.98457682668209,1.84,55.769230769230795,1.7012648912832191,3.7316503417824896,2.2562550331843045,9.884781891955791,12.936120213268168,77.6760551897277,2.047985337813446,0.0,22.68
13111,大田区,Ota,20.302381214529515,1.85,57.69230769230772,3.9677548286883373,12.850590463933246,2.406156552565832,10.88424439293985,6.918091757443379,25.458611037017565,3.0344307635135768,5.33274119360263,19.02
13112,世田谷区,Setagaya,22.708590510395208,1.89,65.38461538461539,3.0801906186947896,9.279586352279638,4.609691585140474,25.57622779477347,6.04332898150189,17.86843815317498,2.310144288645111,1.4172358652070562,21.15
13113,渋谷区,Shibuya,14.127562459961563,1.61,11.538461538461553,6.790202679153529,24.206358041596555,2.6652124174296694,12.61148921113551,7.565787693279154,31.078562256209107,10.660849669718678,46.56129494955367,10.93
13114,中野区,Nakano,14.682799215173317,1.64,17.30769230769229,1.4218626768731153,2.607510313118133,5.857109719322662,33.89333927774245,8.264103456274647,37.13773339885814,3.4504755277197865,7.581886452591946,13.38
13115,杉並区,Suginami,18.33217793355013,1.74,36.53846153846154,2.1931745129485645,5.710787469835104,2.351516135799211,10.519931557274836,7.411682805849354,29.741419467321712,2.875954986229251,4.476018374788297,14.72
13116,豊島区,Toshima,14.753357613766896,1.63,15.38461538461536,0.7737724594577569,0.0,5.968189549700098,34.633959689970226,6.7470349702751005,23.9743793992864,7.725489806000684,30.692688278093204,10.32
13117,北区,Kita,19.432532084249836,1.85,57.69230769230772,3.101375794241765,9.364822268884367,5.65857668497493,32.569628058164305,9.915509849020165,51.466715343626824,3.57531959697421,8.256795670623465,22.91
13118,荒川区,Arakawa,21.827565541731143,1.92,71.15384615384616,2.100567881365674,5.338196215675254,15.771927807793999,100.0,9.91417864122313,51.4551646722886,4.1384067134153355,11.300854452994797,31.51
13119,板橋区,Itabashi,19.448450178745947,1.83,53.846153846153875,3.338232249697596,10.317784732648674,3.96931989467615,21.306574665495486,5.179353377258193,10.37186378582826,2.95988078353006,4.929722700249908,17.41
13120,練馬区,Nerima,24.08427573868112,1.98,82.69230769230771,2.8555968047110847,8.375961099979746,2.3385348016497303,10.433379020991813,8.50758296483694,39.2503650911153,2.5378417449721504,2.6481722894617703,24.52
13121,足立区,Adachi,22.20080577374569,1.99,84.61538461538464,4.732685603624524,15.928194215494337,2.4171166388266627,10.957320338203424,3.984002428626718,0.0,4.345054910271738,12.417998213053998,21.11
13122,葛飾区,Katsushika,24.448214956260518,2.07,100.0,4.457583763156792,14.82135620606076,4.259611161505474,23.24208030116966,6.696197027983217,23.533266926663284,3.994764871670937,10.524324148693747,27.49
13123,江戸川区,Edogawa,25.918683068234728,2.07,100.0,11.209662259360512,41.98750351198544,0.7737143446639501,0.0,6.239639391803213,19.571791329676376,3.5820108549256946,8.292968727931301,29.32
