ward_jis,ward_jp,ward_en,solo_hh_pct,private_rental_pct,single_parent_pct,outflow_pct,self_harm_per_10k,self_harm_norm,SII
13101,千代田区,Chiyoda,57.019181343505664,51.5893846602508,6.482157833509185,20.731853629274145,10.947810437912416,72.453393878487,45.72
13102,中央区,Chuo,52.597662374171506,43.184015468901066,5.726210170077957,28.856418349795188,5.970008097931776,24.304396402665642,37.54
13103,港区,Minato,56.884395279428276,45.079624336463866,6.188905013553845,18.288890765722535,6.065585098623342,25.228888066001296,38.71
13104,新宿区,Shinjuku,67.80109772049933,49.774953666931424,4.839499957295885,20.988594244171903,13.795669533609056,100.0,51.49
13105,文京区,Bunkyo,57.88685573957054,45.38820343063497,5.443832170345302,31.243100941812564,3.4573393482707053,0.0,37.82
13106,台東区,Taito,59.04884128433574,50.74591522614256,6.252210896945466,26.49212084523562,7.945366148956698,43.41152507443453,43.82
13107,墨田区,Sumida,52.16710505531938,47.377049180327866,7.333337911804902,31.633496885164565,5.439476634140067,19.172702460987328,38.65
13108,江東区,Koto,46.75609876150558,32.703101920236335,7.869039911249437,28.738341820678603,4.043409433350499,5.668904693244841,30.8
13109,品川区,Shinagawa,57.284362405084075,46.03759207518415,5.823194228606805,29.958957414175075,4.520838461684119,10.286952480214364,38.76
13110,目黒区,Meguro,53.195167405693724,45.7567513768164,6.03560182507551,28.890477909527647,3.8182777484657464,3.491264002255587,36.49
13111,大田区,Ota,53.60910646901619,43.74905707819965,6.809332679391835,26.52440043257348,4.344449331021641,8.580785937839561,36.42
13112,世田谷区,Setagaya,50.971392081217445,41.72540702389121,6.574310019787805,28.363061428644095,3.6029773309143933,1.4087186231508584,34.32
13113,渋谷区,Shibuya,64.53328528720905,48.61519935777361,4.869341234251548,23.134863848648738,6.478516337752119,29.223065382125217,43.14
13114,中野区,Nakano,62.348036009694916,54.3673311023813,5.1812026314777055,30.046102992345165,5.915100904662491,23.773293291380295,44.29
13115,杉並区,Suginami,58.58888495490966,49.938972293421216,5.37930336831269,30.84343301054968,4.7368670361422955,12.376541133172505,40.62
13116,豊島区,Toshima,64.02630561770837,54.9188834871907,5.389602965914844,28.12177759210077,7.559706762953458,39.681141355889984,46.47
13117,北区,Kita,52.22888611080341,40.972628222163166,7.584700837118036,29.934715227201707,4.448035404109647,9.582747291665443,35.66
13118,荒川区,Arakawa,49.52459324323116,36.496865895647566,8.000966019374054,31.51166800781699,4.598229681572595,11.03553777881733,33.74
13119,板橋区,Itabashi,54.387472822021245,43.83132152374981,7.237062008766987,26.40093894946474,5.064304693207501,15.543761092248415,37.47
13120,練馬区,Nerima,47.658250664245564,40.688377018797986,7.4950932614123404,29.96234427484162,4.876376546621881,13.725980626577691,34.38
13121,足立区,Adachi,47.34703341932118,34.77260612181915,9.149010173618157,23.633214060137288,7.021148331829829,34.47180463062844,34.19
13122,葛飾区,Katsushika,43.56517345127,33.46669697658559,9.2963205058667,28.563451653413317,5.407278417455136,18.861257419982604,31.42
13123,江戸川区,Edogawa,44.70358521455714,39.18857454743928,8.95267276468556,27.94340995970954,4.814222589020134,13.124781433985714,32.85
