ward_jis,ward_name,pct_age65p,pct_single65p,poverty_rate,city
27102,都島区,8.15029,6.9948,8.1964,osaka
27103,福島区,7.0704,5.0714,4.6313,osaka
27104,此花区,7.78122,8.0945,25.1048,osaka
27106,西区,8.62759,4.5304,0.7382,osaka
27107,港区,7.65903,8.4453,11.1906,osaka
27108,大正区,8.00407,9.651,16.6973,osaka
27109,天王寺区,7.99222,5.5115,2.2061,osaka
27111,浪速区,12.63136,8.0719,10.0431,osaka
27113,西淀川区,7.67512,7.1384,7.6013,osaka
27114,東淀川区,10.04014,7.8027,13.9659,osaka
27115,東成区,8.40205,7.215,0.8162,osaka
27116,生野区,8.56388,9.1567,1.0203,osaka
27117,旭区,8.12076,9.2554,6.7167,osaka
27118,城東区,8.29436,7.579,9.8979,osaka
27119,阿倍野区,6.85514,7.2998,4.3706,osaka
27120,住吉区,9.49287,8.8721,11.93,osaka
27121,東住吉区,8.37015,8.7459,3.9647,osaka
27122,西成区,14.57497,19.1217,5.086,osaka
27123,淀川区,9.15283,7.1027,5.2339,osaka
27124,鶴見区,7.02914,5.696,14.5401,osaka
27125,住之江区,8.81699,9.3027,19.7553,osaka
27126,平野区,9.23015,8.7047,20.1333,osaka
27127,北区,8.85867,5.4105,6.5801,osaka
27128,中央区,8.91547,5.4122,1.5737,osaka
