ward_jis,ward_name,pct_age65p,pct_single65p,poverty_rate,city
27102,都島区,,6.9948,,osaka
27103,福島区,,5.0714,,osaka
27104,此花区,,8.0945,,osaka
27106,西区,,4.5304,,osaka
27107,港区,,8.4453,,osaka
27108,大正区,,9.651,,osaka
27109,天王寺区,,5.5115,,osaka
27111,浪速区,,8.0719,,osaka
27113,西淀川区,,7.1384,,osaka
27114,東淀川区,,7.8027,,osaka
27115,東成区,,7.215,,osaka
27116,生野区,,9.1567,,osaka
27117,旭区,,9.2554,,osaka
27118,城東区,,7.579,,osaka
27119,阿倍野区,,7.2998,,osaka
27120,住吉区,,8.8721,,osaka
27121,東住吉区,,8.7459,,osaka
27122,西成区,,19.1217,,osaka
27123,淀川区,,7.1027,,osaka
27124,鶴見区,,5.696,,osaka
27125,住之江区,,9.3027,,osaka
27126,平野区,,8.7047,,osaka
27127,北区,,5.4105,,osaka
27128,中央区,,5.4122,,osaka
