ward_jis,ward_name,pct_age65p,pct_single65p,poverty_rate,city
13101,千代田区,,,,tokyo
13102,中央区,,,,tokyo
13103,港区,,,,tokyo
13104,新宿区,,,,tokyo
13105,文京区,,,,tokyo
13106,台東区,,,,tokyo
13107,墨田区,,,,tokyo
13108,江東区,,,,tokyo
13109,品川区,,,,tokyo
13110,目黒区,,,,tokyo
13111,大田区,,,,tokyo
13112,世田谷区,,,,tokyo
13113,渋谷区,,,,tokyo
13114,中野区,,,,tokyo
13115,杉並区,,,,tokyo
13116,豊島区,,,,tokyo
13117,北区,,,,tokyo
13118,荒川区,,,,tokyo
13119,板橋区,,,,tokyo
13120,練馬区,,,,tokyo
13121,足立区,,,,tokyo
13122,葛飾区,,,,tokyo
13123,江戸川区,,,,tokyo
