ward_jis,ward_name,pct_age65p,pct_single65p,poverty_rate,city
13101,千代田区,5.30652,5.1339,3.4077,tokyo
13102,中央区,7.3328,4.8124,7.8831,tokyo
13103,港区,7.01052,5.3923,6.2777,tokyo
13104,新宿区,7.29263,6.2212,4.1031,tokyo
13105,文京区,5.64607,5.0428,1.1411,tokyo
13106,台東区,7.4656,7.6597,1.1103,tokyo
13107,墨田区,6.80022,6.4884,7.3333,tokyo
13108,江東区,7.28346,6.0916,14.3249,tokyo
13109,品川区,6.76887,5.5466,3.887,tokyo
13110,目黒区,5.58721,5.3538,1.4882,tokyo
13111,大田区,6.48044,5.7699,3.2276,tokyo
13112,世田谷区,5.43306,5.7875,3.1373,tokyo
13113,渋谷区,6.64832,5.1144,2.1056,tokyo
13114,中野区,7.30313,5.9707,2.3986,tokyo
13115,杉並区,5.69355,5.575,1.5394,tokyo
13116,豊島区,6.94668,6.9758,1.4908,tokyo
13117,北区,7.45026,7.9088,12.4051,tokyo
13118,荒川区,7.0225,7.1012,5.4953,tokyo
13119,板橋区,7.52657,6.621,7.4789,tokyo
13120,練馬区,6.00117,5.2648,5.1618,tokyo
13121,足立区,6.99676,6.6174,10.6453,tokyo
13122,葛飾区,6.83942,6.5199,7.4207,tokyo
13123,江戸川区,6.93977,5.3036,7.1185,tokyo
