ward_jis,ward_name,pct_age65p,pct_single65p,poverty_rate,city
13101,千代田区,,5.1339,,tokyo
13102,中央区,,4.8124,,tokyo
13103,港区,,5.3923,,tokyo
13104,新宿区,,6.2212,,tokyo
13105,文京区,,5.0428,,tokyo
13106,台東区,,7.6597,,tokyo
13107,墨田区,,6.4884,,tokyo
13108,江東区,,6.0916,,tokyo
13109,品川区,,5.5466,,tokyo
13110,目黒区,,5.3538,,tokyo
13111,大田区,,5.7699,,tokyo
13112,世田谷区,,5.7875,,tokyo
13113,渋谷区,,5.1144,,tokyo
13114,中野区,,5.9707,,tokyo
13115,杉並区,,5.575,,tokyo
13116,豊島区,,6.9758,,tokyo
13117,北区,,7.9088,,tokyo
13118,荒川区,,7.1012,,tokyo
13119,板橋区,,6.621,,tokyo
13120,練馬区,,5.2648,,tokyo
13121,足立区,,6.6174,,tokyo
13122,葛飾区,,6.5199,,tokyo
13123,江戸川区,,5.3036,,tokyo
