"実数・増加率","年次・四半期・月次コード","年次・四半期・月次","西暦（年）","月","調査世帯数（世帯）","世帯人員（人）","有業人員（人）","世帯主平均年齢（歳）","生計支出（円）","生計支出／消費支出（円）","生計支出／消費支出／食料（円）","生計支出／消費支出／住居（円）","生計支出／消費支出／光熱・水道（円）","生計支出／消費支出／家具・家事用品（円）","生計支出／消費支出／被服及び履物（円）","生計支出／消費支出／保健医療（円）","生計支出／消費支出／交通・通信（円）","生計支出／消費支出／教育（円）","生計支出／消費支出／教養娯楽（円）","生計支出／消費支出／その他の消費支出（円）","生計支出／消費支出／その他の消費支出／諸雑費（円）","生計支出／土地家屋購入（円）"
"Jissu","nen","実数_令和 4年平均","2022","",637,2.90,1.32,59.6,329608,324667,88881,26865,23328,12768,11756,17369,34883,19540,35037,54240,29131,4941
"Jissu","nen","実数_令和 5年平均","2023","",615,2.95,1.40,59.5,340041,335174,96298,25590,23173,13099,11860,17238,34458,21284,39084,53090,27098,4867
"Jissu","nen","実数_令和 6年平均","2024","",612,2.91,1.40,60.1,361045,341594,98685,25012,21220,13740,12269,18918,37842,19463,38828,55618,29840,19451
"Jissu","nen","実数_令和 7年平均","2025","",594,2.86,1.34,60.6,369924,351556,104143,27385,21938,13854,12319,19532,39599,16768,41756,54262,27970,18369
"Jissu","sihan","実数_令和 6年10～12月","2024","10～12",607,2.89,1.43,59.0,345717,345717,105852,26842,19321,14138,13996,20376,35319,14642,39824,55406,28874,-
"Jissu","sihan","実数_令和 7年 1～ 3月","2025","01～03",610,2.88,1.39,59.7,357010,349703,99324,31855,26895,11436,11514,18744,43875,15809,38015,52237,27144,7306
"Jissu","sihan","実数_令和 7年 4～ 6月","2025","04～06",607,2.83,1.35,60.9,386846,352491,101826,28830,22790,13760,13346,19419,35762,20614,42653,53492,25494,34355
"Jissu","sihan","実数_令和 7年 7～ 9月","2025","07～09",578,2.84,1.33,61.3,370139,343802,105628,24201,18696,14472,10296,20066,35954,12581,44259,57651,29791,26336
"Jissu","sihan","実数_令和 7年10～12月","2025","10～12",581,2.87,1.29,60.5,365703,360226,109793,24656,19371,15748,14120,19900,42806,18068,42096,53669,29450,5477
"Jissu","tuki","実数_令和 6年12月","2024","12",609,2.87,1.41,59.5,377026,377026,117957,29953,19139,19535,15552,19732,33960,12614,41920,66662,34749,-
"Jissu","tuki","実数_令和 7年 1月","2025","1",604,2.88,1.41,59.7,351290,349078,96399,41046,25335,11976,12572,17407,35539,14910,37100,56794,24804,2212
"Jissu","tuki","実数_令和 7年 2月","2025","2",607,2.89,1.38,59.6,329978,314576,95306,27737,26452,8943,9669,19579,29356,19331,35872,42330,24445,15401
"Jissu","tuki","実数_令和 7年 3月","2025","3",620,2.88,1.38,59.9,389762,385456,106268,26782,28899,13389,12300,19245,66729,13186,41072,57588,32183,4305
"Jissu","tuki","実数_令和 7年 4月","2025","4",616,2.84,1.35,60.6,464497,366567,100050,27574,25801,11743,14340,17202,37864,39414,43005,49574,25699,97930
"Jissu","tuki","実数_令和 7年 5月","2025","5",596,2.82,1.35,60.9,358336,357595,104175,25513,22865,14248,12821,18403,35516,14705,47909,61441,25489,741
"Jissu","tuki","実数_令和 7年 6月","2025","6",609,2.83,1.35,61.1,337704,333310,101252,33403,19705,15289,12876,22652,33907,7723,37044,49460,25295,4394
"Jissu","tuki","実数_令和 7年 7月","2025","7",587,2.83,1.34,61.5,335077,335077,106159,21952,17308,15140,13073,20613,37390,11489,37122,54832,27537,-
"Jissu","tuki","実数_令和 7年 8月","2025","8",577,2.84,1.33,61.5,416454,356377,109532,27197,19107,15495,9008,20895,34911,9115,52453,58663,26835,60077
"Jissu","tuki","実数_令和 7年 9月","2025","9",571,2.86,1.31,60.8,358885,339953,101193,23453,19673,12780,8806,18690,35560,17139,43203,59457,35001,18931
"Jissu","tuki","実数_令和 7年10月","2025","10",578,2.85,1.27,60.7,377677,361245,100393,27708,19027,14140,12583,18138,60448,17350,38221,53238,31641,16432
"Jissu","tuki","実数_令和 7年11月","2025","11",583,2.88,1.31,60.4,339957,339957,106074,22271,18855,16265,15835,22962,32207,13903,43892,47694,25697,-
"Jissu","tuki","実数_令和 7年12月","2025","12",583,2.89,1.30,60.3,379475,379475,122911,23988,20232,16840,13941,18599,35762,22952,44176,60075,31013,-
"meimoku","nen","対前年（同期・同月）名目増加率_令和 4年平均","2022","",-,-,-,-,-3.2,0.6,-1.7,1.0,15.5,-7.0,6.8,-5.5,0.7,2.3,8.2,-3.5,3.3,-72.3
"meimoku","nen","対前年（同期・同月）名目増加率_令和 5年平均","2023","",-,-,-,-,3.2,3.2,8.3,-4.7,-0.7,2.6,0.9,-0.8,-1.2,8.9,11.6,-2.1,-7.0,-1.5
"meimoku","nen","対前年（同期・同月）名目増加率_令和 6年平均","2024","",-,-,-,-,6.2,1.9,2.5,-2.3,-8.4,4.9,3.4,9.7,9.8,-8.6,-0.7,4.8,10.1,299.7
"meimoku","nen","対前年（同期・同月）名目増加率_令和 7年平均","2025","",-,-,-,-,2.5,2.9,5.5,9.5,3.4,0.8,0.4,3.2,4.6,-13.8,7.5,-2.4,-6.3,-5.6
"meimoku","sihan","対前年（同期・同月）名目増加率_令和 6年10～12月","2024","10～12",-,-,-,-,-5.1,-1.8,2.5,0.7,-0.8,-9.7,-5.0,6.8,-0.3,-35.2,-0.2,0.2,6.8,-100.0
"meimoku","sihan","対前年（同期・同月）名目増加率_令和 7年 1～ 3月","2025","01～03",-,-,-,-,5.7,3.5,5.7,49.3,7.4,-16.4,-7.2,1.1,10.9,-21.4,-0.3,-5.3,-4.3,...
"meimoku","sihan","対前年（同期・同月）名目増加率_令和 7年 4～ 6月","2025","04～06",-,-,-,-,-8.7,1.9,6.3,15.8,6.8,1.8,6.0,5.3,-1.2,-27.6,14.2,-6.6,-21.1,-55.8
"meimoku","sihan","対前年（同期・同月）名目増加率_令和 7年 7～ 9月","2025","07～09",-,-,-,-,9.9,2.1,6.5,-10.2,-2.5,6.2,2.2,9.5,-10.8,-13.9,10.7,5.5,-0.1,...
"meimoku","sihan","対前年（同期・同月）名目増加率_令和 7年10～12月","2025","10～12",-,-,-,-,5.8,4.2,3.7,-8.1,0.3,11.4,0.9,-2.3,21.2,23.4,5.7,-3.1,2.0,...
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 6年12月","2024","12",-,-,-,-,1.7,1.7,3.4,22.1,-1.0,9.5,10.5,3.8,4.1,-49.5,-0.1,6.9,19.9,-
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 7年 1月","2025","1",-,-,-,-,5.6,5.0,7.1,122.4,11.2,-21.4,-5.0,0.9,16.8,-34.4,-1.9,-12.1,-18.0,...
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 7年 2月","2025","2",-,-,-,-,7.5,2.5,4.4,40.2,4.1,-26.9,-11.2,9.4,15.7,-11.6,1.9,-9.7,-8.5,...
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 7年 3月","2025","3",-,-,-,-,4.1,3.0,5.8,3.9,7.2,-1.2,-6.0,-5.9,6.1,-16.4,-0.7,6.8,14.5,...
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 7年 4月","2025","4",-,-,-,-,9.7,-6.7,7.2,-21.1,4.6,-8.3,14.5,-9.7,0.1,-25.9,17.1,-27.0,-33.8,222.1
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 7年 5月","2025","5",-,-,-,-,5.6,5.4,6.0,50.3,8.6,5.8,6.9,-0.7,-13.5,-35.3,19.4,11.3,-19.9,...
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 7年 6月","2025","6",-,-,-,-,-33.6,9.2,5.6,46.5,7.7,7.0,-3.0,27.8,14.3,-18.8,5.1,1.7,-3.9,-97.8
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 7年 7月","2025","7",-,-,-,-,-0.8,-0.8,7.0,-26.1,1.0,8.7,13.6,7.6,6.7,-9.3,-14.1,-2.4,-10.7,-
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 7年 8月","2025","8",-,-,-,-,24.0,6.1,7.0,16.1,-1.9,1.3,-6.0,7.9,-11.3,5.8,30.4,1.0,-12.3,...
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 7年 9月","2025","9",-,-,-,-,6.5,0.8,5.6,-15.5,-5.9,9.7,-3.6,13.8,-23.5,-24.0,18.2,19.5,25.0,...
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 7年10月","2025","10",-,-,-,-,15.5,10.5,1.7,-0.4,-9.8,25.9,6.1,-13.0,94.2,1.6,-0.4,9.2,21.2,...
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 7年11月","2025","11",-,-,-,-,2.0,2.0,5.2,-2.1,6.4,39.6,8.6,11.8,-21.2,-2.3,12.0,-6.1,-0.3,-
"meimoku","tuki","対前年（同期・同月）名目増加率_令和 7年12月","2025","12",-,-,-,-,0.6,0.6,4.2,-19.9,5.7,-13.8,-10.4,-5.7,5.3,82.0,5.4,-9.9,-10.8,-
