年次,Year,人口 Population,人口増減率 Rate of population change (%),対全国比 Percentage of National population (%),,,,,,,
明治5,1872,859345,… ,2.47,,,,,,,
明治6,1873,887322,3.26,2.54,,,,,,,
明治7,1874,932458,5.09,2.65,,,,,,,
明治8,1875,986091,5.75,2.79,,,,,,,
明治9,1876,1027517,4.2,2.89,,,,,,,
明治10,1877,890681,-13.32,2.48,,,,,,,
明治11,1878,1072560,20.42,2.97,,,,,,,
明治12,1879,1084025,1.07,2.97,,,,,,,
明治13,1880,1084745,0.07,2.96,,,,,,,
明治14,1881,1121560,3.39,3.03,,,,,,,
明治15,1882,1146971,2.27,3.08,,,,,,,
明治16,1883,1173603,2.32,3.12,,,,,,,
明治17,1884,1152500,-1.8,3.04,,,,,,,
明治18,1885,1163400,0.95,3.04,,,,,,,
明治19,1886,1203600,3.46,3.12,,,,,,,
明治20,1887,1296600,7.73,3.35,,,,,,,
明治21,1888,1329200,2.51,3.41,,,,,,,
明治22,1889,1354400,1.9,3.43,,,,,,,
明治23,1890,1385700,2.31,3.47,,,,,,,
明治24,1891,1333900,-3.74,3.31,,,,,,,
明治25,1892,1342000,0.61,3.31,,,,,,,
明治26,1893,1356800,1.1,3.32,,,,,,,
明治27,1894,1608700,18.57,3.91,,,,,,,
明治28,1895,1638700,1.86,3.94,,,,,,,
明治29,1896,1661300,1.38,3.96,,,,,,,
明治30,1897,1705900,2.68,4.02,,,,,,,
明治31,1898,1762100,3.29,4.11,,,,,,,
明治32,1899,1878000,6.58,4.33,,,,,,,
明治33,1900,1947300,3.69,4.44,,,,,,,
明治34,1901,2019100,3.69,4.55,,,,,,,
明治35,1902,2093800,3.7,4.66,,,,,,,
明治36,1903,2171100,3.69,4.77,,,,,,,
明治37,1904,2251300,3.69,4.88,,,,,,,
明治38,1905,2334600,3.7,5.01,,,,,,,
明治39,1906,2420900,3.7,5.15,,,,,,,
明治40,1907,2510500,3.7,5.29,,,,,,,
明治41,1908,2603300,3.7,5.43,,,,,,,
明治42,1909,2682000,3.02,5.52,,,,,,,
明治43,1910,2706800,0.92,5.5,,,,,,,
明治44,1911,2732000,0.93,5.48,,,,,,,
大正元,1912,2757500,0.93,5.45,,,,,,,
大正2,1913,2783400,0.94,5.43,,,,,,,
大正3,1914,2809600,0.94,5.4,,,,,,,
大正4,1915,2836200,0.95,5.38,,,,,,,
大正5,1916,2863100,0.95,5.35,,,,,,,
大正6,1917,2890400,0.95,5.34,,,,,,,
大正7,1918,2918000,0.95,5.33,,,,,,,
大正8,1919,3340100,14.47,6.07,,,,,,,
大正9,1920,3699428,10.76,6.61,,,,,,,
大正10,1921,3830700,3.55,6.76,,,,,,,
大正11,1922,3984200,4.01,6.94,,,,,,,
大正12,1923,3859400,-3.13,6.64,,,,,,,
大正13,1924,4185500,8.45,7.11,,,,,,,
大正14,1925,4485144,7.16,7.51,,,,,,,
大正15,1926,4694400,4.67,7.73,,,,,,,
昭和2,1927,4897400,4.32,7.94,,,,,,,
昭和3,1928,5101400,4.17,8.15,,,,,,,
昭和4,1929,5300000,3.89,8.35,,,,,,,
昭和5,1930,5408678,2.05,8.39,,,,,,,
昭和6,1931,5521100,2.08,8.43,,,,,,,
昭和7,1932,5755600,4.25,8.66,,,,,,,
昭和8,1933,5975100,3.81,8.86,,,,,,,
昭和9,1934,6176900,3.38,9.04,,,,,,,
昭和10,1935,6369919,3.12,9.2,,,,,,,
昭和11,1936,6586500,3.4,9.39,,,,,,,
昭和12,1937,6725700,2.11,9.52,,,,,,,
昭和13,1938,6875600,2.23,9.68,,,,,,,
昭和14,1939,7081600,3,9.92,,,,,,,
昭和15,1940,7354971,3.86,10.22,,,,,,,
昭和16,1941,7284300,-0.96,10.09,,,,,,,
昭和17,1942,7357800,1.01,10.1,,,,,,,
昭和18,1943,7332600,-0.34,9.92,,,,,,,
昭和19,1944,7271001,-0.84,9.77,,,,,,,
昭和20,1945,3488284,-52.02,4.83,,,,,,,
昭和21,1946,4183072,19.92,5.52,,,,,,,
昭和22,1947,5000777,19.55,6.4,,,,,,,
昭和23,1948,5417871,8.34,6.77,,,,,,,
昭和24,1949,5950775,9.84,7.28,,,,,,,
昭和25,1950,6277500,5.49,7.55,,,,,,,
昭和26,1951,6712494,6.93,7.94,,,,,,,
昭和27,1952,7108749,5.9,8.28,,,,,,,
昭和28,1953,7468907,5.07,8.59,,,,,,,
昭和29,1954,7773648,4.08,8.81,,,,,,,
昭和30,1955,8037084,3.39,9,,,,,,,
昭和31,1956,8348969,3.88,9.26,,,,,,,
昭和32,1957,8681040,3.98,9.55,,,,,,,
昭和33,1958,9010534,3.8,9.82,,,,,,,
昭和34,1959,9349323,3.76,10.09,,,,,,,
昭和35,1960,9683802,3.58,10.37,,,,,,,
昭和36,1961,9936970,2.61,10.54,,,,,,,
昭和37,1962,10180203,2.45,10.7,,,,,,,
昭和38,1963,10432526,2.48,10.85,,,,,,,
昭和39,1964,10639361,1.98,10.95,,,,,,,
昭和40,1965,10869244,2.16,11.06,,,,,,,
昭和41,1966,10973070,0.96,11.08,,,,,,,
昭和42,1967,11104969,1.2,11.08,,,,,,,
昭和43,1968,11251775,1.32,11.1,,,,,,,
昭和44,1969,11340417,0.79,11.06,,,,,,,
昭和45,1970,11408071,0.6,10.9,,,,,,,
昭和46,1971,11521226,0.99,10.86,,,,,,,
昭和47,1972,11598152,0.67,10.78,,,,,,,
昭和48,1973,11636797,0.33,10.67,,,,,,,
昭和49,1974,11654642,0.15,10.54,,,,,,,
昭和50,1975,11673554,0.16,10.43,,,,,,,
昭和51,1976,11670355,-0.03,10.32,,,,,,,
昭和52,1977,11668721,-0.01,10.22,,,,,,,
昭和53,1978,11657218,-0.1,10.12,,,,,,,
昭和54,1979,11635411,-0.19,10.02,,,,,,,
昭和55,1980,11618281,-0.15,9.93,,,,,,,
昭和56,1981,11619066,0.01,9.85,,,,,,,
昭和57,1982,11645872,0.23,9.81,,,,,,,
昭和58,1983,11700815,0.47,9.79,,,,,,,
昭和59,1984,11762368,0.53,9.78,,,,,,,
昭和60,1985,11829363,0.57,9.77,,,,,,,
昭和61,1986,11894011,0.55,9.78,,,,,,,
昭和62,1987,11904896,0.09,9.74,,,,,,,
昭和63,1988,11898526,-0.05,9.69,,,,,,,
平成元,1989,11878244,-0.17,9.64,,,,,,,
平成2,1990,11855563,-0.19,9.59,,,,,,,
平成3,1991,11878594,0.19,9.57,,,,,,,
平成4,1992,11878284,0,9.54,,,,,,,
平成5,1993,11843612,-0.29,9.48,,,,,,,
平成6,1994,11791565,-0.44,9.41,,,,,,,
平成7,1995,11773605,-0.15,9.38,,,,,,,
平成8,1996,11789799,0.14,9.37,,,,,,,
平成9,1997,11838466,0.41,9.38,,,,,,,
平成10,1998,11904007,0.55,9.41,,,,,,,
