男女別階層,男女,Gender,年齢階層,年齢 (歳) ,Age groups (years old),大正9年 1920,昭和 5年 1930,昭和15年 1940 1),昭和25年 1950,昭和35年 1960,昭和45年 1970,昭和50年 1975,昭和55年 1980,昭和60年 1985,平成 2年 1990,平成7年 1995,平成12年 2000,平成17年 2005,平成22年 2010,平成27年 2015,令和2年 2020
0,総数,Total,0,総数,Total,3699428,5408678,7346983,6277500,9683802,11408071,11673554,11618281,11829363,11855563,11773605,12064101,12576601,13159388,13515271,14047594
0,総数,Total,2,0～4,0-4,430438,705182,843200,780018,693719,971687,964456,715230,620843,521605,467748,477014,476692,500269,524939,521062
0,総数,Total,2,5～9,5--9,376151,539880,746468,671135,674170,791874,856943,865035,666781,565862,485921,462053,481382,484303,499632,531824
0,総数,Total,2,10～14,10--14,360901,473432,725203,536825,881163,637069,743050,813422,837713,640012,545457,481852,466593,492799,493559,513954
0,総数,Total,2,15～19,15-19,445500,682415,963479,650609,1250356,963755,824026,876161,934068,948359,731600,640095,562968,546573,566729,544076
0,総数,Total,2,20～24,20-24,419231,649194,789458,693511,1308146,1675115,1311354,1113290,1181783,1195664,1169793,991457,859742,785911,753698,798823
0,総数,Total,2,25～29,25-29,339254,539291,726366,567040,1098234,1290878,1338307,1010762,919931,995391,1056719,1118725,981230,949354,863678,911945
0,総数,Total,2,30～34,30-34,292292,424366,588173,465302,840120,1031700,1067346,1128129,909087,804673,895053,1020691,1121689,1038768,969877,917440
0,総数,Total,2,35～39,35-39,245953,330628,489243,432430,634272,910696,910793,954985,1052373,822279,740683,877029,1026016,1164057,1038390,977812
0,総数,Total,2,40～44,40-44,212729,279856,386066,365801,508584,744424,844180,851939,920175,1000011,784977,731320,885146,1053232,1154214,1036974
0,総数,Total,2,45～49,45-49,154983,227066,299514,320907,470924,584319,705845,803528,833307,893591,979147,773398,736656,905561,1048170,1155011
0,総数,Total,2,50～54,50-54,125606,190982,250083,255876,388826,467280,545313,665798,778265,804082,870796,955871,770054,740091,891332,1040280
0,総数,Total,2,55～59,55-59,98477,131262,194737,193039,325046,415597,430028,508454,632913,737990,777126,839781,938669,760764,722755,871685
0,総数,Total,2,60～64,60-64,80349,96218,152213,146358,242579,332866,383027,395517,476397,588485,699205,737511,813422,905914,725312,690147
0,総数,Total,2,65～69,65-69,58274,64286,93437,96322,165295,257119,296987,343812,362572,433985,550743,654925,705944,771396,854575,678263
0,総数,Total,2,70～74,70-74,34313,41251,56000,60724,109725,172110,215274,253787,302128,318591,391228,504291,612400,654931,713342,784219
0,総数,Total,2,75～79,75-79,16929,22148,27854,27850,58606,96219,130692,168857,207551,249195,270421,349344,451357,544554,583971,630144
0,総数,Total,2,80～,80 and over,8048,11221,15313,13165,34037,65363,88855,128505,183599,242255,318303,401896,525826,671350,853628,1015196
0,総数,Total,2,不詳,Unreported,-,-,176,588,-,-,17078,21070,9877,93533,38685,46848,160815,189561,257470,428739
0,総数,Total,1,(再掲)0～14 ,(Relisted) 0-14 ,1167490,1718494,2314871,1987978,2249052,2400630,2564449,2393687,2125337,1727479,1499126,1420919,1424667,1477371,1518130,1566840
0,総数,Total,1,(再掲)15～64,(Relisted) 15-64,2414374,3551278,4839332,4090873,7067087,8416630,8360219,8308563,8638299,8790525,8705099,8685878,8695592,8850225,8734155,8944193
0,総数,Total,1,(再掲)65～,(Relisted) 65 and over,117564,138906,192604,198061,367663,590811,731808,894961,1055850,1244026,1530695,1910456,2295527,2642231,3005516,3107822
1,男,Male,0,総数,Total,1952989,2855323,3790831,3169389,4997023,5801009,5913373,5856280,5955029,5969773,5892704,6028562,6264895,6512110,6666690,6898388
1,男,Male,2,0～4,0-4,216739,356655,427395,398853,356324,498250,494161,366318,317664,267282,239666,244520,243648,256087,267601,266375
1,男,Male,2,5～9,5--9,190545,271773,378596,340399,345611,405701,439780,443461,340759,289336,248105,236370,246639,247825,255978,271910
1,男,Male,2,10～14,10--14,190834,245775,374117,271264,450954,326382,381516,417319,429744,326926,278974,246019,238695,251866,252438,263549
1,男,Male,2,15～19,15-19,250628,374802,531904,342311,698545,506894,431843,456826,486528,489587,375083,328620,288446,277669,289130,276129
1,男,Male,2,20～24,20-24,232574,357947,391370,370569,744750,922542,727833,616805,651784,645946,615266,523171,449576,402472,383164,396919
1,男,Male,2,25～29,25-29,184598,293269,372221,268886,582625,683751,715564,543382,493686,534900,557726,580884,508302,487772,436135,455638
1,男,Male,2,30～34,30-34,157664,232720,307048,218219,422476,526138,546627,587169,480999,424361,473711,532026,573146,532686,495240,462045
