年齢階層,年齢 (歳) ,Age (years old),計 Total,男 Male,女 Female,,,,,,
0,総数,Total,137241,71036,66205,,,,,,
2,0～9,0-9,233,121,112,,,,,,
3,0,0,135,65,70,,,,,,
3,1,1,25,15,10,,,,,,
3,2,2,15,8,7,,,,,,
3,3,3,13,7,6,,,,,,
3,4,4,10,5,5,,,,,,
3,5,5,10,4,6,,,,,,
3,6,6,7,3,4,,,,,,
3,7,7,8,6,2,,,,,,
3,8,8,6,4,2,,,,,,
3,9,9,4,4,-,,,,,,
2,10～19,10--19,182,92,90,,,,,,
3,10,10,8,4,4,,,,,,
3,11,11,6,2,4,,,,,,
3,12,12,7,2,5,,,,,,
3,13,13,8,5,3,,,,,,
3,14,14,11,4,7,,,,,,
3,15,15,22,11,11,,,,,,
3,16,16,24,15,9,,,,,,
3,17,17,29,15,14,,,,,,
3,18,18,31,18,13,,,,,,
3,19,19,36,16,20,,,,,,
2,20～29,20-29,558,334,224,,,,,,
3,20,20,37,23,14,,,,,,
3,21,21,49,28,21,,,,,,
3,22,22,44,31,13,,,,,,
3,23,23,48,30,18,,,,,,
3,24,24,62,32,30,,,,,,
3,25,25,70,45,25,,,,,,
3,26,26,58,37,21,,,,,,
3,27,27,64,33,31,,,,,,
3,28,28,54,32,22,,,,,,
3,29,29,72,43,29,,,,,,
2,30～39,30-39,816,517,299,,,,,,
3,30,30,60,35,25,,,,,,
3,31,31,67,43,24,,,,,,
3,32,32,57,39,18,,,,,,
3,33,33,65,49,16,,,,,,
3,34,34,88,53,35,,,,,,
3,35,35,79,45,34,,,,,,
3,36,36,95,58,37,,,,,,
3,37,37,96,68,28,,,,,,
3,38,38,83,52,31,,,,,,
3,39,39,126,75,51,,,,,,
2,40～49,40-49,2107,1353,754,,,,,,
3,40,40,126,82,44,,,,,,
3,41,41,151,92,59,,,,,,
3,42,42,148,88,60,,,,,,
3,43,43,194,120,74,,,,,,
3,44,44,181,114,67,,,,,,
3,45,45,187,109,78,,,,,,
3,46,46,205,138,67,,,,,,
3,47,47,273,181,92,,,,,,
3,48,48,313,215,98,,,,,,
3,49,49,329,214,115,,,,,,
2,50～59,50-59,5872,3818,2054,,,,,,
3,50,50,433,268,165,,,,,,
3,51,51,474,292,182,,,,,,
3,52,52,509,314,195,,,,,,
3,53,53,546,325,221,,,,,,
3,54,54,579,368,211,,,,,,
3,55,55,635,420,215,,,,,,
3,56,56,591,380,211,,,,,,
3,57,57,595,417,178,,,,,,
3,58,58,704,480,224,,,,,,
3,59,59,806,554,252,,,,,,
2,60～69,60-69,9980,7033,2947,,,,,,
3,60,60,758,511,247,,,,,,
3,61,61,803,570,233,,,,,,
3,62,62,871,600,271,,,,,,
3,63,63,890,628,262,,,,,,
3,64,64,939,649,290,,,,,,
3,65,65,935,669,266,,,,,,
3,66,66,1081,772,309,,,,,,
3,67,67,1127,808,319,,,,,,
3,68,68,1177,835,342,,,,,,
3,69,69,1399,991,408,,,,,,
2,70～79,70-79,27076,18022,9054,,,,,,
3,70,70,1563,1084,479,,,,,,
3,71,71,1776,1231,545,,,,,,
3,72,72,2195,1487,708,,,,,,
3,73,73,2600,1788,812,,,,,,
3,74,74,2992,2075,917,,,,,,
3,75,75,3422,2307,1115,,,,,,
3,76,76,3259,2163,1096,,,,,,
3,77,77,2421,1600,821,,,,,,
3,78,78,2980,1872,1108,,,,,,
3,79,79,3868,2415,1453,,,,,,
2,80～89,80-89,49931,26443,23488,,,,,,
3,80,80,4061,2446,1615,,,,,,
3,81,81,4438,2685,1753,,,,,,
3,82,82,4596,2695,1901,,,,,,
3,83,83,4575,2506,2069,,,,,,
3,84,84,4336,2355,1981,,,,,,
3,85,85,5226,2729,2497,,,,,,
3,86,86,5446,2813,2633,,,,,,
3,87,87,5884,2909,2975,,,,,,
3,88,88,5742,2746,2996,,,,,,
3,89,89,5627,2559,3068,,,,,,
2,90～99,90-99,37376,12849,24527,,,,,,
3,90,90,5743,2494,3249,,,,,,
3,91,91,5389,2204,3185,,,,,,
3,92,92,5095,1951,3144,,,,,,
