年齢 (歳) Age (years old),東京都 Tokyo-to／平成22年(都道府県別生命表) 2010 (Prefectural life tables) 2010／男 Male,東京都 Tokyo-to／平成22年(都道府県別生命表) 2010 (Prefectural life tables) 2010／女 Female,東京都 Tokyo-to／平成27年(都道府県別生命表) 2015 (Prefectural life tables) 2015／男 Male,東京都 Tokyo-to／平成27年(都道府県別生命表) 2015 (Prefectural life tables) 2015／女 Female,東京都 Tokyo-to／令和2年(都道府県別生命表) 2020 (Prefectural life tables) 2020／男 Male,東京都 Tokyo-to／令和2年(都道府県別生命表) 2020 (Prefectural life tables) 2020／女 Female,全国 Japan／平成22年(第21回生命表) 2010 (The 21st  Life tables) 2010／男 Male,全国 Japan／平成22年(第21回生命表) 2010 (The 21st  Life tables) 2010／女 Female,全国  Japan／平成27年(第22回生命表) 2015 (The 22nd Life tables) 2015／男 Male,全国 Japan／平成27年(第22回生命表) 2015 (The 22nd  Life tables) 2015／女 Female,全国  Japan／令令和2年(第23回生命表) 2020(The 23rd  Life tables) 2020／男 Male,全国 Japan／令和2年(第23回生命表) 2020(The 23rd  Life tables) 2020／女 Female
0,79.82,86.39,81.07,87.26,81.77,87.86,79.55,86.3,80.75,86.99,81.56,87.71
5,75.05,81.61,76.28,82.46,76.93,83.02,74.82,81.55,75.98,82.2,76.76,82.9
10,70.08,76.64,71.32,77.49,71.96,78.04,69.85,76.58,71.02,77.23,71.78,77.93
15,65.13,71.67,66.35,72.51,67,73.07,64.89,71.61,66.05,72.26,66.81,72.95
20,60.2,66.72,61.43,67.55,62.08,68.13,59.99,66.67,61.13,67.31,61.9,68.01
25,55.33,61.8,56.54,62.61,57.19,63.2,55.16,61.75,56.28,62.37,57.05,63.09
30,50.47,56.88,51.66,57.68,52.28,58.28,50.33,56.83,51.43,57.45,52.18,58.17
35,45.61,51.98,46.78,52.76,47.39,53.35,45.51,51.94,46.58,52.55,47.33,53.25
40,40.8,47.11,41.94,47.87,42.53,48.45,40.73,47.08,41.77,47.67,42.5,48.37
45,36.06,42.29,37.15,43.03,37.72,43.59,36.02,42.27,37.01,42.83,37.72,43.52
50,31.44,37.52,32.47,38.25,33.01,38.8,31.42,37.52,32.36,38.07,33.04,38.75
55,26.99,32.87,27.92,33.57,28.45,34.09,26.98,32.86,27.85,33.38,28.5,34.06
60,22.78,28.31,23.59,28.96,24.04,29.46,22.75,28.28,23.51,28.77,24.12,29.42
65,18.82,23.85,19.53,24.46,19.89,24.93,18.74,23.8,19.41,24.24,19.97,24.88
70,15.11,19.49,15.74,20.07,16.07,20.55,14.96,19.43,15.59,19.85,16.09,20.45
75,11.67,15.33,12.25,15.85,12.56,16.33,11.45,15.27,12.03,15.64,12.54,16.22
80,8.59,11.5,9.1,11.93,9.4,12.38,8.42,11.46,8.83,11.71,9.34,12.25
85,6.08,8.17,6.46,8.5,6.74,8.86,6,8.15,6.22,8.3,6.59,8.73
90,4.22,5.58,4.42,5.71,4.62,5.96,4.19,5.53,4.27,5.56,4.49,5.85
95,2.86,3.7,3.02,3.76,3.07,3.8,2.9,3.66,2.98,3.63,3.06,3.78
,,,,,,,,,,,,
東京都統計年鑑（令和5年）TOKYO STATISTICAL YEARBOOK ( 2023 )　2  人口・世帯 2  POPULATION AND HOUSEHOLDS,,,,,,,,,,,,
2-8  平均余命（平成22～令和2年） 2-8  LIFE EXPECTANCY ( 2010-2020 ),,,,,,,,,,,,
資料：厚生労働省 「生命表」「都道府県別生命表」 Source: Ministry of Health， Labour and Welfare,,,,,,,,,,,,
