地域階層,地域コード,地域,District,一般世帯 Private households／総数 Total,一般世帯 Private households／世帯人員別世帯数 Households by number of household members／1人 Person,一般世帯 Private households／世帯人員別世帯数 Households by number of household members／2人 Persons,一般世帯 Private households／世帯人員別世帯数 Households by number of household members／3人 Persons,一般世帯 Private households／世帯人員別世帯数 Households by number of household members／4人 Persons,一般世帯 Private households／世帯人員別世帯数 Households by number of household members／5人以上 and over,一般世帯 Private households／1世帯当たり人員 Members per household,一般世帯 Private households／総数 Total 1),一般世帯 Private households／親族のみの世帯 Relative households／総数 Total,一般世帯 Private households／親族のみの世帯 Relative households／1　核家族世帯 Nuclear family／計 Total,一般世帯 Private households／親族のみの世帯 Relative households／1　核家族世帯 Nuclear family／夫婦のみの世帯 Married couple only,一般世帯 Private households／親族のみの世帯 Relative households／1　核家族世帯 Nuclear family／夫婦と子供から成る世帯 Married couple and child(ren),一般世帯 Private households／親族のみの世帯 Relative households／1　核家族世帯 Nuclear family／男親と子供から成る世帯 Single-father family,一般世帯 Private households／親族のみの世帯 Relative households／1　核家族世帯 Nuclear family／女親と子供から成る世帯 Single-mother family ,一般世帯 Private households／親族のみの世帯 Relative households／2　その他の親族世帯 Other relative households,一般世帯 Private households／非親族を含む世帯 Non-relative households,一般世帯 Private households／単独世帯 One-person  households
0,13000,総数,Tokyo-to,7216650,3625810,1695039,1002088,697531,196182,1.92,7216650,3506405,3299649,1185040,1588460,76177,449972,206756,81748,3625810
1,13100,区部,All ku,5208438,2786593,1162314,677881,459527,122123,1.85,5208438,2359065,2218797,803692,1056918,51151,307036,140268,61440,2786593
2,13101,千代田区,Chiyoda-ku,36963,21076,7502,4506,3121,758,1.79,36963,15566,14871,5261,7214,322,2074,695,318,21076
2,13102,中央区,Chuo-ku,92487,48646,22464,12339,7553,1485,1.82,92487,42648,41016,16829,18891,711,4585,1632,1182,48646
2,13103,港区,Minato-ku,146084,83099,30724,17956,11618,2687,1.77,146084,61427,58962,21968,27953,1130,7911,2465,1555,83099
2,13104,新宿区,Shinjuku-ku,222461,150831,37864,19298,11750,2718,1.55,222461,69921,66252,26555,28931,1471,9295,3669,1680,150831
2,13105,文京区,Bunkyo-ku,133564,77316,26117,16363,11090,2678,1.77,133564,55082,52262,18749,26242,886,6385,2820,1158,77316
2,13106,台東区,Taito-ku,121557,71778,26839,13023,7783,2134,1.7,121557,48170,45059,18765,18694,1107,6493,3111,1599,71778
2,13107,墨田区,Sumida-ku,145609,75960,35388,18865,11970,3426,1.85,145609,67719,63218,24369,28171,1592,9086,4501,1925,75960
2,13108,江東区,Koto-ku,264111,123488,66591,40197,27531,6304,1.97,264111,138388,131885,47406,63696,3048,17735,6503,2225,123488
