地域階層,地域コード,地域,District,昼間人口 Daytime population／平成2年 1990,昼間人口 Daytime population／平成7年 1995,昼間人口 Daytime population／平成12年 2000,昼間人口 Daytime population／平成17年 2005,昼間人口 Daytime population／平成22年 2010,昼間人口 Daytime population／平成27年 2015,昼間人口 Daytime population／令和2年 2020,昼間人口 Daytime population／令和2年 2020／男 Male,昼間人口 Daytime population／令和2年 2020／女 Female,常住人口 De jure population 1)／平成2年 1990,常住人口 De jure population 1)／平成7年 1995,常住人口 De jure population 1)／平成12年 2000,常住人口 De jure population 1)／平成17年 2005,常住人口 De jure population 1)／平成22年 2010,常住人口 De jure population 1)／平成27年 2015,常住人口 De jure population 1)／令和2年 2020,常住人口 De jure population 1)／令和2年 2020／男 Male,常住人口 De jure population 1)／令和2年 2020／女 Female
0,13000,総数,Tokyo-to,14483495,14571809,14666899,14977580,15576130,15920405,16315279,8358554,7956725,11762030,11734920,12017253,12415786,13159388,13515271,14047594,6898388,7149206
1,13100,区部,All ku,11287948,11191345,11125135,11284699,11711537,12033592,12346348,6471672,5874676,8099153,7935211,8092268,8351955,8945695,9272740,9733276,4774402,4958874
2,13101,千代田区,Chiyoda-ku,1036609,949900,855172,853382,819247,853068,903780,551523,352257,39305,34758,36016,41683,47115,58406,66680,33637,33043
2,13102,中央区,Chuo-ku,748288,700865,648366,647733,605926,608603,633390,370085,263305,67621,63807,72233,98220,122762,141183,169179,80931,88248
2,13103,港区,Minato-ku,883952,849786,837658,908940,886173,940785,972673,575237,397436,156325,144233,159336,185732,205131,243283,260486,123410,137076
2,13104,新宿区,Shinjuku-ku,817095,806095,798611,770094,750120,775549,793528,435655,357873,291152,276011,286173,303808,326309,333560,349385,174822,174563
2,13105,文京区,Bunkyo-ku,339161,345087,342603,336229,345423,346132,353648,179702,173946,180322,172332,175872,189564,206626,219724,240069,115483,124586
2,13106,台東区,Taito-ku,347738,342681,317700,303522,294756,303931,307176,171189,135987,162345,152961,156073,163528,175928,198073,211444,108586,102858
2,13107,墨田区,Sumida-ku,267595,270261,257972,262514,279272,279181,281971,145534,136437,222270,215421,215865,231092,247606,256274,272085,134787,137298
2,13108,江東区,Koto-ku,412935,438253,454680,490708,548976,608532,633813,348577,285236,384904,365575,376784,420827,460819,498109,524310,258015,266295
2,13109,品川区,Shinagawa-ku,455826,462609,478529,505034,527019,544022,582156,326592,255564,344163,325180,322682,344888,365302,386855,422488,208688,213800
2,13110,目黒区,Meguro-ku,267235,269947,267322,271320,293382,293832,301801,146570,155231,247036,241676,239489,248749,268330,277622,288088,135820,152268
2,13111,大田区,Ota-ku,653517,647545,655573,657209,684451,693865,722027,371384,350643,646265,634844,650323,664027,693373,717082,748081,372464,375617
2,13112,世田谷区,Setagaya-ku,671354,688081,706522,736040,812810,856870,854838,393786,461052,785633,780798,796874,820320,877138,903346,943664,445592,498072
2,13113,渋谷区,Shibuya-ku,547216,536851,549715,542803,520698,539109,551344,286429,264915,201562,188235,196337,199280,204492,224533,243883,117907,125976
2,13114,中野区,Nakano-ku,257848,261174,272250,285636,289176,313270,325767,164067,161700,311790,304379,309513,310392,314750,328215,344880,172525,172355
2,13115,杉並区,Suginami-ku,412985,411526,427162,439379,480172,479975,498067,233114,264953,525843,508004,520095,522582,549569,563997,591108,284301,306807
2,13116,豊島区,Toshima-ku,425691,424002,408802,378475,422995,417146,412070,209012,203058,256654,243919,248201,233141,284678,291167,301599,151020,150579
2,13117,北区,Kita-ku,322529,318682,308653,307317,321581,329753,332018,165977,166041,351119,333004,326671,330345,335544,341076,355213,176289,178924
2,13118,荒川区,Arakawa-ku,178567,175354,176358,184021,191626,194004,193640,97876,95764,183895,176833,180441,191163,203296,212264,217475,107683,109792
2,13119,板橋区,Itabashi-ku,461364,461963,470917,456425,493747,508099,523358,254548,268810,513438,509578,512459,507799,535824,561916,584483,286179,298304
2,13120,練馬区,Nerima-ku,461017,476777,507286,530628,588243,605084,601359,278413,322946,614646,630366,654150,643687,716124,721722,752608,361770,390838
2,13121,足立区,Adachi-ku,523152,530895,535321,539309,608632,608968,619375,307042,312333,627817,621347,616064,622500,683426,670122,695043,347408,347635
2,13122,葛飾区,Katsushika-ku,345385,347157,345365,343039,376235,372335,376832,181916,194916,423853,423951,421496,424823,442586,442913,453093,225758,227335
2,13123,江戸川区,Edogawa-ku,450889,475854,502598,534942,570877,561479,571717,277444,294273,561195,587999,619121,653805,678967,681298,697932,351327,346605
1,13200,市部,All shi,3109739,3291809,3455698,3604881,3776318,3798280,3883827,1842578,2041249,3570667,3706417,3837093,3976006,4127128,4157706,4234381,2083444,2150937
2,13201,八王子市,Hachioji-shi,463705,506317,537132,549417,578039,576240,574070,286392,287678,464261,503130,535473,556808,580053,577513,579355,291307,288048
2,13202,立川市,Tachikawa-shi,164788,175523,182157,193465,203252,201294,207832,101720,106112,151434,157506,163987,172563,179668,176295,183581,91191,92390
2,13203,武蔵野市,Musashino-shi,152586,153379,152425,154448,153267,157319,162221,74731,87490,138109,134510,135730,137513,138734,144730,150149,71868,78281
2,13204,三鷹市,Mitaka-shi,133919,138934,152435,148458,166284,165721,175413,83343,92070,163653,164961,171346,166767,186083,186936,195391,94489,100902
2,13205,青梅市,Ome-shi,111098,121953,128691,127176,127303,124145,120804,58079,62725,125637,137202,141352,142028,139339,137381,133535,66654,66881
2,13206,府中市,Fuchu-shi,195642,210521,221456,236133,246380,245693,249891,126508,123383,207563,216126,226647,245292,255506,260274,262790,131468,131322
2,13207,昭島市,Akishima-shi,92256,95218,96560,100508,100273,101452,105988,52597,53391,104466,107284,106485,110054,112297,111539,113949,56639,57310
2,13208,調布市,Chofu-shi,162753,169321,178626,186275,195986,197864,215825,98464,117361,195544,198532,204752,215809,223593,229061,242614,117044,125570
2,13209,町田市,Machida-shi,298974,315906,330651,364091,388575,396333,389137,175438,213699,343608,359461,376808,404449,426987,432348,431079,210533,220546
2,13210,小金井市,Koganei-shi,82560,89545,93522,95195,102683,104257,110012,52120,57892,104791,109116,111670,111033,118852,121396,126074,61759,64315
2,13211,小平市,Kodaira-shi,143638,150473,154079,160499,166106,166779,176977,82773,94204,162565,172771,178597,183775,187035,190005,198739,97507,101232
2,13212,日野市,Hino-shi,138546,142774,144265,154114,158452,163592,168522,82758,85764,165632,166443,167933,176527,180052,186283,190435,94918,95517
2,13213,東村山市,Higashimurayama-shi,100671,104038,111681,115046,125378,119897,124202,56271,67931,133421,134896,141635,144402,153557,149956,151815,73827,77988
2,13214,国分寺市,Kokubunji-shi,75186,82127,88559,95649,100798,104735,110258,51662,58596,100163,105165,111244,115238,120650,122742,129242,62985,66257
2,13215,国立市,Kunitachi-shi,62919,65464,71484,71295,73597,72066,73548,35283,38265,64600,66533,72183,72574,75510,73655,77130,37515,39615
2,13218,福生市,Fussa-shi,48040,50461,51891,52442,51582,52564,51695,25241,26454,57716,61018,61425,61045,59796,58395,56414,28023,28391
2,13219,狛江市,Komae-shi,47952,49741,53540,57386,58983,59204,62979,28566,34413,73406,74642,75705,78314,78751,80249,84772,41043,43729
2,13220,東大和市,Higashiyamato-shi,55576,58926,60927,64274,65959,68474,67364,30433,36931,74812,76343,77193,79228,83068,85157,83901,41034,42867
2,13221,清瀬市,Kiyose-shi,51225,53263,57390,60733,61802,64456,65931,29070,36861,67126,67350,68020,73506,74104,74864,76208,36550,39658
2,13222,東久留米市,Higashikurume-shi,78123,79944,86312,90315,93335,92727,95619,43026,52593,113213,111083,112862,115023,116546,116632,115271,55647,59624
2,13223,武蔵村山市,Musashimurayama-shi,58084,59270,59053,59591,64590,67614,67567,32450,35117,65201,66966,66015,66368,70053,71229,70829,35260,35569
2,13224,多摩市,Tama-shi,109413,121918,126570,137622,145569,148156,146247,66822,79425,143223,147673,145857,145877,147648,146631,146951,71611,75340
2,13225,稲城市,Inagi-shi,46499,49117,55521,58913,67517,68782,74976,34285,40691,58380,62371,69209,76394,84835,87636,93151,46879,46272
2,13227,羽村市,Hamura-shi,50283,52603,54044,55966,53221,51875,51710,27105,24605,51828,55084,55868,56452,57032,55833,54326,27471,26855
2,13228,あきる野市,Akiruno-shi,55840,59218,65697,67814,70137,69906,67342,31723,35619,71685,75339,78240,79581,80868,80954,79292,39230,40062
2,13229,西東京市,Nishitokyo-shi,129463,135855,141030,148056,157250,157135,167697,75718,91979,168630,174912,180857,189386,196511,200012,207388,100992,106396
1,13300,郡部,All gun,53254,56289,58099,58824,60275,61274,60135,30992,29143,59885,61215,60252,59088,58750,58334,55476,27631,27845
2,13303,瑞穂町,Mizuho-machi,31210,33658,34871,36088,36272,36767,35317,19125,16192,30896,32714,32790,33476,33497,33445,31765,15992,15773
2,13305,日の出町,Hinode-machi,11634,12487,13579,13965,15959,17205,17760,8239,9521,16432,16684,16631,15941,16650,17446,16958,8267,8691
2,13307,檜原村,Hinohara-mura,2975,2926,2842,2566,2297,2089,2133,1058,1075,3807,3560,3256,2930,2558,2209,2003,983,1020
2,13308,奥多摩町,Okutama-machi,7435,7218,6807,6205,5747,5213,4925,2570,2355,8750,8257,7575,6741,6045,5234,4750,2389,2361
1,13350,島部,All islands,32554,32366,27967,29176,28000,27259,24969,13312,11657,32325,32077,27640,28737,27815,26491,24461,12911,11550
2,13361,大島町,Oshima-machi,10056,9770,9292,8789,8490,7998,7276,3794,3482,10004,9693,9224,8701,8461,7884,7102,3667,3435
2,13362,利島村,Toshima-mura,326,332,325,327,348,416,351,211,140,315,317,302,308,341,337,327,197,130
2,13363,新島村,Niijima-mura,3516,3180,3176,3199,2890,2805,2451,1214,1237,3505,3163,3147,3161,2883,2749,2441,1204,1237
