地域階層,地域コード,地域,District,昼間人口 Daytime population,常住人口 De jure population,(A)流入超過人口(=B-C) Net inflow of population／計 Total,(A)流入超過人口(=B-C) Net inflow of population／通勤者(15歳以上) Commuters (15years old and over),(A)流入超過人口(=B-C) Net inflow of population／通学者 Pupils and students,(B)流入人口 Population inflow／計 Total,(B)流入人口 Population inflow／通勤者(15歳以上)Commuters (15years old and over),(B)流入人口 Population inflow／通学者 Pupils and students,(C)流出人口 Population outflow／計 Total,(C)流出人口 Population outflow／通勤者(15歳以上) Commuters (15years old and over),(C)流出人口 Population outflow／通学者 Pupils and students,面積  Area 1) (km2),昼間人口密度(1km2につき) Daytime population density per sq. km,昼夜間人口比率 Ratio of daytime population to nighttime population 2)
0,13000,総数,Tokyo-to,16315279,14047594,2267664,2067343,200321,2762478,2506080,256398,494814,438737,56077,2194.03,7436.2,116.1
1,13100,区部,All ku,12346348,9733276,2613049,2427926,185123,3037953,2786927,251026,424904,359001,65903,627.53,19674.5,126.8
2,13101,千代田区,Chiyoda-ku,903780,66680,837096,784172,52924,850920,796251,54669,13824,12079,1745,11.66,77511.1,1355.4
2,13102,中央区,Chuo-ku,633390,169179,464211,465827,-1616,513030,510146,2884,48819,44319,4500,10.21,62036.2,374.4
2,13103,港区,Minato-ku,972673,260486,712182,691649,20533,759822,733161,26661,47640,41512,6128,20.37,47750.3,373.4
2,13104,新宿区,Shinjuku-ku,793528,349385,444144,397405,46739,517475,463014,54461,73331,65609,7722,18.22,43552.6,227.1
2,13105,文京区,Bunkyo-ku,353648,240069,113579,76799,36780,188584,143715,44869,75005,66916,8089,11.29,31324,147.3
2,13106,台東区,Taito-ku,307176,211444,95731,93517,2214,151747,144857,6890,56016,51340,4676,10.11,30383.4,145.3
2,13107,墨田区,Sumida-ku,281971,272085,9886,9923,-37,95956,89552,6404,86070,79629,6441,13.77,20477.2,103.6
2,13108,江東区,Koto-ku,633813,524310,109503,115532,-6029,260181,251255,8926,150678,135723,14955,42.99,14743.3,120.9
2,13109,品川区,Shinagawa-ku,582156,422488,159667,154921,4746,286240,270540,15700,126573,115619,10954,22.84,25488.4,137.8
2,13110,目黒区,Meguro-ku,301801,288088,13710,6876,6834,96940,81039,15901,83230,74163,9067,14.67,20572.7,104.8
2,13111,大田区,Ota-ku,722027,748081,-26055,-15976,-10079,172369,162522,9847,198424,178498,19926,61.86,11672,96.5
2,13112,世田谷区,Setagaya-ku,854838,943664,-88828,-106721,17893,178824,131017,47807,267652,237738,29914,58.05,14725.9,90.6
2,13113,渋谷区,Shibuya-ku,551344,243883,307452,281981,25471,363874,332314,31560,56422,50333,6089,15.11,36488.7,226.1
2,13114,中野区,Nakano-ku,325767,344880,-19113,-25369,6256,84510,69249,15261,103623,94618,9005,15.59,20895.9,94.5
2,13115,杉並区,Suginami-ku,498067,591108,-93040,-94892,1852,89278,69408,19870,182318,164300,18018,34.06,14623.2,84.3
2,13116,豊島区,Toshima-ku,412070,301599,110469,85597,24872,195284,161808,33476,84815,76211,8604,13.01,31673.3,136.6
2,13117,北区,Kita-ku,332018,355213,-23195,-25667,2472,83137,71504,11633,106332,97171,9161,20.61,16109.6,93.5
2,13118,荒川区,Arakawa-ku,193640,217475,-23835,-21044,-2791,44695,40734,3961,68530,61778,6752,10.16,19059.1,89
2,13119,板橋区,Itabashi-ku,523358,584483,-61125,-60994,-131,93184,78140,15044,154309,139134,15175,32.22,16243.3,89.5
2,13120,練馬区,Nerima-ku,601359,752608,-151247,-135954,-15293,74252,64572,9680,225499,200526,24973,48.08,12507.5,79.9
2,13121,足立区,Adachi-ku,619375,695043,-75668,-67298,-8370,88593,81111,7482,164261,148409,15852,53.25,11631.5,89.1
2,13122,葛飾区,Katsushika-ku,376832,453093,-76261,-69214,-7047,53158,48302,4856,129419,117516,11903,34.8,10828.5,83.2
2,13123,江戸川区,Edogawa-ku,571717,697932,-126214,-113144,-13070,68812,62222,6590,195026,175366,19660,49.9,11457.3,81.9
1,13200,市部,All shi,3883827,4234381,-350552,-367172,16620,370125,286589,83536,720677,653761,66916,783.95,4954.2,91.7
2,13201,八王子市,Hachioji-shi,574070,579355,-5285,-27581,22296,113717,78023,35694,119002,105604,13398,186.38,3080.1,99.1
2,13202,立川市,Tachikawa-shi,207832,183581,24251,22889,1362,73688,66688,7000,49437,43799,5638,24.36,8531.7,113.2
2,13203,武蔵野市,Musashino-shi,162221,150149,12072,4975,7097,59158,46486,12672,47086,41511,5575,10.98,14774.2,108
2,13204,三鷹市,Mitaka-shi,175413,195391,-19978,-19421,-557,39881,33264,6617,59859,52685,7174,16.42,10682.9,89.8
2,13205,青梅市,Ome-shi,120804,133535,-12731,-9952,-2779,18936,18002,934,31667,27954,3713,103.31,1169.3,90.5
2,13206,府中市,Fuchu-shi,249891,262790,-12899,-9203,-3696,61968,56425,5543,74867,65628,9239,29.43,8491,95.1
2,13207,昭島市,Akishima-shi,105988,113949,-7961,-6004,-1957,25936,24147,1789,33897,30151,3746,17.34,6112.3,93
2,13208,調布市,Chofu-shi,215825,242614,-26789,-26848,59,45832,37657,8175,72621,64505,8116,21.58,10001.2,89
2,13209,町田市,Machida-shi,389137,431079,-41942,-46169,4227,76282,58573,17709,118224,104742,13482,71.55,5438.7,90.3
2,13210,小金井市,Koganei-shi,110012,126074,-16062,-20715,4653,26349,16875,9474,42411,37590,4821,11.3,9735.6,87.3
2,13211,小平市,Kodaira-shi,176977,198739,-21762,-23482,1720,36091,27564,8527,57853,51046,6807,20.51,8628.8,89
2,13212,日野市,Hino-shi,168522,190435,-21912,-20695,-1217,34773,29174,5599,56685,49869,6816,27.55,6117,88.5
2,13213,東村山市,Higashimurayama-shi,124202,151815,-27613,-24564,-3049,19235,16980,2255,46848,41544,5304,17.14,7246.3,81.8
2,13214,国分寺市,Kokubunji-shi,110258,129242,-18984,-19005,21,25383,19957,5426,44367,38962,5405,11.46,9621.1,85.3
2,13215,国立市,Kunitachi-shi,73548,77130,-3582,-7741,4159,22239,15204,7035,25821,22945,2876,8.15,9024.3,95.4
2,13218,福生市,Fussa-shi,51695,56414,-4719,-3957,-762,11484,10709,775,16203,14666,1537,10.16,5088.1,91.6
2,13219,狛江市,Komae-shi,62979,84772,-21793,-19442,-2351,8155,7226,929,29948,26668,3280,6.39,9855.9,74.3
2,13220,東大和市,Higashiyamato-shi,67364,83901,-16537,-15018,-1519,10680,9246,1434,27217,24264,2953,13.42,5019.7,80.3
2,13221,清瀬市,Kiyose-shi,65931,76208,-10277,-10309,32,12514,9986,2528,22791,20295,2496,10.23,6444.9,86.5
2,13222,東久留米市,Higashikurume-shi,95619,115271,-19651,-17061,-2590,14962,13672,1290,34613,30733,3880,12.88,7423.8,83
2,13223,武蔵村山市,Musashimurayama-shi,67567,70829,-3262,-3186,-76,13463,11622,1841,16725,14808,1917,15.32,4410.4,95.4
2,13224,多摩市,Tama-shi,146247,146951,-704,-1312,608,43129,37453,5676,43833,38765,5068,21.01,6960.8,99.5
2,13225,稲城市,Inagi-shi,74976,93151,-18175,-15438,-2737,14348,12721,1627,32523,28159,4364,17.97,4172.3,80.5
2,13227,羽村市,Hamura-shi,51710,54326,-2616,-1384,-1232,14268,13618,650,16884,15002,1882,9.9,5223.2,95.2
2,13228,あきる野市,Akiruno-shi,67342,79292,-11950,-11018,-932,10778,9132,1646,22728,20150,2578,73.47,916.6,84.9
2,13229,西東京市,Nishitokyo-shi,167697,207388,-39691,-35531,-4160,28267,24359,3908,67958,59890,8068,15.75,10647.4,80.9
1,13300,郡部,All gun,60135,55476,4659,6059,-1400,18878,18565,313,14219,12506,1713,375.86,160,108.4
2,13303,瑞穂町,Mizuho-machi,35317,31765,3552,4307,-755,12605,12328,277,9053,8021,1032,16.85,2096,111.2
2,13305,日の出町,Hinode-machi,17760,16958,802,1290,-488,5167,5149,18,4365,3859,506,28.07,632.7,104.7
