年次,Year,地域階層,地域コード,地域,District,総数 Total 1),住宅の種類 Type of dwelling／専用住宅 Used exclusively for living,住宅の種類 Type of dwelling／店舗，その他の併用住宅 Used also for commerce or other purposes,所有関係 Tenure of dwelling／持ち家 Owned houses,所有関係 Tenure of dwelling／借家 Rented houses／計 Total,所有関係 Tenure of dwelling／借家 Rented houses／公営の借家 Owned by local government,所有関係 Tenure of dwelling／借家 Rented houses／都市再生機構(UR）・公社の借家 Owned by Urban Renaissance Agency or public corporation,所有関係 Tenure of dwelling／借家 Rented houses／民営借家 Owned privately,所有関係 Tenure of dwelling／借家 Rented houses／給与住宅 Issued houses,建て方 Type of building／一戸建 Detached houses,建て方 Type of building／長屋建 Tenement houses,建て方 Type of building／共同住宅 Apartments／計 Total,建て方 Type of building／共同住宅 Apartments／1～2階 1-2 Stories,建て方 Type of building／共同住宅 Apartments／3～5階 3-5 Stories,建て方 Type of building／共同住宅 Apartments／6階以上 6Storiesandhigher,建て方 Type of building／その他 Others,構造 Construction material／木造 Wooden ,構造 Construction material／非木造 Non-wooden／計Total,構造 Construction material／非木造 Non-wooden／鉄筋・鉄骨コンクリート造d),構造 Construction material／非木造 Non-wooden／鉄鉄骨造Steel framed,構造 Construction material／非木造 Non-wooden／その他Others
平成25,2013,0,13000,東京都,Tokyo-to,6472600,6372000,100700,2962100,3100300,268200,232200,2432200,167600,1797300,118100,4529700,952300,1695900,1881500,27500,2335100,4137500,3473900,655300,8300
平成30,2018,0,13000,東京都,Tokyo-to,6805500,6711200,94200,3063000,3343300,247600,207400,2723700,164600,1820900,118700,4839900,1005900,1816700,2017300,26000,2378800,4426700,3651900,767200,7600
令和5,2023,0,13000,東京都,Tokyo-to,7235400,7168000,67400,3235200,3538800,241300,202700,2868500,226200,1900500,128800,5180700,914300,1947700,2318800,25300,2327500,4907900,4182700,716700,8500
令和5,2023,1,13100,区部,All ku,5220100,5168300,51800,2140900,2714300,151700,116600,2262400,183600,1086400,84400,4028200,623700,1458300,1946200,21100,1390100,3830000,3291500,533200,5300
令和5,2023,2,13101,千代田区,Chiyoda-ku,34290,33980,310,11240,21280,640,140,17690,2810,690,-,32910,50,1320,31540,690,190,34100,33450,620,20
令和5,2023,2,13102,中央区,Chuo-ku,93090,92370,720,40320,49790,2230,2120,40200,5240,2880,230,89000,130,2110,86770,980,2230,90860,89880,950,30
令和5,2023,2,13103,港区,Minato-ku,146940,146220,720,58160,79660,4490,1970,66240,6960,7550,370,138380,1940,22100,114340,640,5530,141420,137170,4130,120
令和5,2023,2,13104,新宿区,Shinjuku-ku,226620,225930,690,75790,129060,6810,480,112800,8970,21670,3640,200060,18410,66210,115440,1260,37470,189160,183860,5210,80
令和5,2023,2,13105,文京区,Bunkyo-ku,132920,132200,720,57730,65060,680,470,60330,3580,21650,1590,109000,7810,34750,66450,680,20760,112150,99470,12550,140
令和5,2023,2,13106,台東区,Taito-ku,126690,122660,4030,49710,71490,1460,50,64290,5690,18550,200,106570,2800,18100,85660,1370,12740,113950,102660,11230,50
令和5,2023,2,13107,墨田区,Sumida-ku,152500,150790,1700,57590,89290,5640,2920,72250,8480,25120,780,125850,4980,31080,89790,750,23080,129410,107650,21740,30
