年次,Year,地域階層,地域コード,地域,District,総数 Total／橋数 Number,総数 Total／橋長 Length,総数 Total／橋面積 Area,一般国道 (指定区間外) General national highways (outside designated sections)／橋数 Number,一般国道 (指定区間外) General national highways (outside designated sections)／橋長 Length,一般国道 (指定区間外) General national highways (outside designated sections)／橋面積 Area,主要地方道 Main regional roads／橋数 Number,主要地方道 Main regional roads／橋長 Length,主要地方道 Main regional roads／橋面積 Area,一般都道 General metropolitan roads／橋数 Number,一般都道 General metropolitan roads／橋長 Length,一般都道 General metropolitan roads／橋面積 Area
令和2,2020,0,13000,総数,Tokyo-to,696,39715,79621,24,1698,3091,444,24124,46861,228,13893,29669
令和3,2021,0,13000,総数,Tokyo-to,694,39446,79187,24,1698,3091,441,23833,46329,229,13915,29767
令和4,2022,0,13000,総数,Tokyo-to,689,39253,78854,24,1698,3091,439,23765,46206,226,13790,29557
令和5,2023,0,13000,総数,Tokyo-to,683,39080,78506,24,1698,3091,433,23591,45860,226,13791,29555
令和6,2024,0,13000,総数,Tokyo-to,681,39013,78411,24,1698,3091,433,23602,45921,224,13713,29399
令和6,2024,1,13100,区部,All ku,469,29950,61508,18,1494,2703,319,18435,35680,132,10021,23125
令和6,2024,2,13101,千代田区,Chiyoda-ku,7,547,1242,-,-,-,6,415,760,1,132,482
令和6,2024,2,13102,中央区,Chuo-ku,12,1255,2835,-,-,-,11,989,2453,1,266,382
令和6,2024,2,13103,港区,Minato-ku,23,2065,6714,-,-,-,10,1096,4666,13,969,2048
令和6,2024,2,13104,新宿区,Shinjuku-ku,22,1632,5254,-,-,-,14,749,2215,8,883,3039
令和6,2024,2,13105,文京区,Bunkyo-ku,9,584,1082,-,-,-,3,148,196,6,436,886
令和6,2024,2,13106,台東区,Taito-ku,3,368,244,-,-,-,2,215,58,1,153,186
令和6,2024,2,13107,墨田区,Sumida-ku,3,204,385,-,-,-,1,44,79,2,160,306
令和6,2024,2,13108,江東区,Koto-ku,32,2162,4350,-,-,-,20,502,735,12,1660,3615
令和6,2024,2,13109,品川区,Shinagawa-ku,9,977,2051,-,-,-,7,880,1910,2,97,141
令和6,2024,2,13110,目黒区,Meguro-ku,20,769,1089,-,-,-,16,593,839,4,176,250
令和6,2024,2,13111,大田区,Ota-ku,32,2006,3670,1,43,41,30,1929,3575,1,34,54
令和6,2024,2,13112,世田谷区,Setagaya-ku,49,2806,4793,6,376,754,40,2304,3846,3,126,193
令和6,2024,2,13113,渋谷区,Shibuya-ku,16,922,1694,-,-,-,9,410,761,7,512,933
令和6,2024,2,13114,中野区,Nakano-ku,19,794,1112,-,-,-,11,536,741,8,258,371
令和6,2024,2,13115,杉並区,Suginami-ku,37,1483,2519,-,-,-,31,1151,2032,6,332,487
令和6,2024,2,13116,豊島区,Toshima-ku,8,319,613,-,-,-,6,212,392,2,107,221
令和6,2024,2,13117,北区,Kita-ku,26,3508,4427,9,962,1747,9,1814,1368,8,732,1312
令和6,2024,2,13118,荒川区,Arakawa-ku,5,189,905,-,-,-,3,46,45,2,143,860
令和6,2024,2,13119,板橋区,Itabashi-ku,32,1928,5783,-,-,-,12,568,1057,20,1360,4726
令和6,2024,2,13120,練馬区,Nerima-ku,32,1917,5073,-,-,-,23,1477,4062,9,440,1011
令和6,2024,2,13121,足立区,Adachi-ku,33,1486,2674,-,-,-,23,1075,2078,10,411,596
令和6,2024,2,13122,葛飾区,Katsushika-ku,11,559,266,-,-,-,8,242,109,3,317,157
令和6,2024,2,13123,江戸川区,Edogawa-ku,29,1470,2733,2,113,161,24,1040,1703,3,317,869
令和6,2024,1,,市郡部,All shi and gun,209,8993,16697,6,204,388,114,5167,10241,89,3622,6068
令和6,2024,1,13350,島部,All islands,3,70,206,-,-,-,-,-,-,3,70,206
,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和5年）TOKYO STATISTICAL YEARBOOK ( 2023 ) 4　運輸 4　TRANSPORT ,,,,,,,,,,,,,,,,,
4-4  地域， 道路の種類別歩道橋数， 橋長及び橋面積(令和2～6年) 4-4  NUMBER， LENGTH， AND AREA OF PEDESTRIAN BRIDGES BY DISTRICT AND CATEGORY OF ROADS ( 2020-2024 ),,,,,,,,,,,,,,,,,
この表は， 知事管理道路についての数値である。 各年4月1日現在,,,,,,,,,,,,,,,,,
Figures refer only to roads under the jurisdiction of the Tokyo governor. Figures are as of Apr. 1,,,,,,,,,,,,,,,,,
資料：都建設局道路管理部保全課 Source: Bureau of Construction， TMG,,,,,,,,,,,,,,,,,
地域階層(0:東京都　1:区部・市郡部・島部　2:区市町村),,,,,,,,,,,,,,,,,
（単位　延長　メートル， 面積　平方メートル） (Length in meters， Area in square meters),,,,,,,,,,,,,,,,,
