年度,Fiscal year,区分,Classification,マーク Mark,総数 Total,設置者保有 Owned／校舎 School buildings,設置者保有 Owned／講堂，屋内運動場 Auditoriums， gymnasiums ,設置者保有 Owned／寄宿舎 Dormitories,借用建物 Rented buildings
令和元,2019,総数,Total,,15219946,13050430,2079776,31905,57835
令和2,2020,総数,Total,,15266600,13089408,2086642,31655,58895
令和3,2021,総数,Total,,15287141,13121032,2087089,32048,46972
令和4,2022,総数,Total,,15285689,13109978,2084767,39279,51665
令和5,2023,総数,Total,,15364941,13176180,2087884,39279,61598
令和5,2023,幼稚園,Kindergartens,,130892,119544,-,-,11348
令和5,2023,幼保連携型認定こども園,Accredited Kodomo-en(Daycare-kindergarten),,10044,8391,664,-,989
令和5,2023,小学校,Elementary schools,,7521976,6536617,977774,1508,6077
令和5,2023,中学校,Junior high schools,,4265949,3619176,645682,-,1091
令和5,2023,義務教育学校,Compulsory education schools ,,131253,112928,18325,-,-
令和5,2023,高等学校,Senior high schools,,2574704,2127149,386385,24697,36473
令和5,2023,特別支援学校 ,Special needs schools,1),609453,546992,47753,9088,5620
令和5,2023,専修学校,Specialized training schools,,55340,46893,4461,3986,-
令和5,2023,高等専門学校,Colleges of technology,,65330,58490,6840,-,-
,,,,,,,,,
東京都統計年鑑（令和5年）TOKYO STATISTICAL YEARBOOK ( 2023 )　17  教育・文化・スポーツ 17  EDUCATION， CULTURE， AND SPORTS ,,,,,,,,,
17-5  学校施設の面積 (2) 用途別学校建物面積 (令和元～5年度) a 公立 17-5  LAND AREA OF SCHOOL FACILITIES (2) SCHOOL BUILDING AREA BY USE  ( Fiscal Years 2019-2023 ) a PUBLIC,,,,,,,,,
「学校基本調査」 (5月1日現在) による。 　,,,,,,,,,
Data are based on the School Basic Survey (as of May 1).,,,,,,,,,
注 1) 区立特別支援学校は除く。     ,,,,,,,,,
Note: 1) Except those established by ward.,,,,,,,,,
資料：都総務局総務部企画計理課，教育庁都立学校教育部高等学校教育課・特別支援教育課，地域教育支援部義務教育課   Source: Bureau of General Affairs， TMG; Office of Education， TMG 　   ,,,,,,,,,
（単位　平方メートル）(In square meters),,,,,,,,,
