地域階層,地域コード,地域,District,施設数 Number of facilities,学級・事業数 Classes and Programs／総数 Total,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／計 Total,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／高齢者 Seniors,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by  target)／女性 Women,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／家庭教育 Home education,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／青年 Youth,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／少年 Children,学級・事業数 Classes and programs／学級・講座(対象別学級数) Classes and courses (by target)／成人・一般 Adults and general public,学級・事業数 Classes and programs／分野別事業数 Programs by category／リーダー講習・研修会 Leadership training and workshops,学級・事業数 Classes and programs／分野別事業数 Programs by category／行事・大会 Events and Meets,学級・事業数 Classes and programs／分野別事業数 Programs by category／文化財保護普及事業 Cultural property protection and promotion,学級・事業数 Classes and programs／分野別事業数 Programs by category／障害者対象事業 Programs for the disabled,学級・事業数 Classes and programs／分野別事業数 Programs by category／青少年対策事業 Youth programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／視聴覚事業 Audio-visual programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／図書館事業 Library programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／博物館事業 Museum programs,学級・事業数 Classes and programs／分野別事業数 Programs by category／人権学習促進事業 Human rights study／promotion,学級・事業数 Classes and programs／分野別事業数 Programs by category／その他の事業 Others programs
0,13000,総数,Tokyo-to,825,8738,4284,225,203,1138,89,465,2164,120,525,394,98,62,89,1198,769,27,1172
1,13100,区部,All ku,422,4024,2027,84,130,734,66,185,828,67,207,118,64,44,18,388,377,22,692
2,13101,千代田区,Chiyoda-ku,10,70,50,-,-,4,-,4,42,-,14,4,2,-,-,-,-,-,-
2,13102,中央区,Chuo-ku,9,181,155,13,-,69,-,-,73,3,5,1,1,2,-,12,1,-,1
2,13103,港区,Minato-ku,12,56,17,-,6,9,-,-,2,-,1,3,25,-,-,4,2,-,4
2,13104,新宿区,Shinjuku-ku,24,41,29,-,-,29,-,-,-,2,1,6,1,-,-,-,-,-,2
2,13105,文京区,Bunkyo-ku,20,210,128,1,-,2,-,14,111,-,21,3,1,6,12,5,26,-,8
2,13106,台東区,Taito-ku,20,170,118,1,2,51,-,9,55,4,6,4,1,4,-,26,-,2,5
2,13107,墨田区,Sumida-ku,8,49,10,-,-,10,-,-,-,2,4,4,1,4,-,13,4,2,5
2,13108,江東区,Koto-ku,16,88,44,-,13,7,6,6,12,7,4,12,1,1,-,3,-,2,14
2,13109,品川区,Shinagawa-ku,19,526,477,48,6,388,4,4,27,1,4,4,4,-,-,24,5,3,4
2,13110,目黒区,Meguro-ku,19,65,41,-,-,7,3,4,27,3,4,5,1,2,-,-,6,-,3
2,13111,大田区,Ota-ku,21,180,69,-,9,24,1,-,35,6,10,3,2,18,-,2,61,3,6
2,13112,世田谷区,Setagaya-ku,26,435,189,16,1,74,-,3,95,8,43,14,3,-,-,3,1,1,173
2,13113,渋谷区,Shibuya-ku,20,65,35,-,1,-,-,17,17,1,4,-,2,-,-,4,19,-,-
2,13114,中野区,Nakano-ku,14,202,9,3,-,-,-,-,6,2,1,-,1,-,-,161,-,-,28
2,13115,杉並区,Suginami-ku,18,139,47,-,-,8,1,11,27,-,32,1,1,-,-,9,40,-,9
2,13116,豊島区,Toshima-ku,17,180,142,-,2,2,21,1,116,2,2,15,1,-,2,8,4,-,4
2,13117,北区,Kita-ku,19,201,19,1,-,7,6,-,5,4,3,19,5,4,-,10,8,-,129
2,13118,荒川区,Arakawa-ku,13,343,81,-,-,25,-,4,52,5,2,3,1,-,4,11,19,1,216
2,13119,板橋区,Itabashi-ku,23,232,114,-,8,3,16,32,55,1,16,10,2,1,-,14,68,1,5
2,13120,練馬区,Nerima-ku,23,176,72,1,47,3,7,13,1,3,6,1,4,2,-,16,65,7,-
2,13121,足立区,Adachi-ku,34,168,75,-,8,11,1,4,51,6,11,1,-,-,-,3,4,-,68
2,13122,葛飾区,Katsushika-ku,23,193,78,-,-,-,-,59,19,2,7,-,4,-,-,54,44,-,4
2,13123,江戸川区,Edogawa-ku,14,54,28,-,27,1,-,-,-,5,6,5,-,-,-,6,-,-,4
1,13200,市部,All shi,354,4538,2204,137,61,404,23,264,1315,48,272,261,34,15,71,792,375,5,461
2,13201,八王子市,Hachioji-shi,17,659,589,45,4,207,-,22,311,8,10,4,-,-,-,11,36,-,1
2,13202,立川市,Tachikawa-shi,29,247,142,13,23,5,-,9,92,6,37,7,1,2,-,14,7,3,28
2,13203,武蔵野市,Musashino-shi,5,172,5,-,-,-,-,5,-,-,2,18,-,-,-,27,63,-,57
2,13204,三鷹市,Mitaka-shi,9,208,81,5,-,12,1,11,52,1,6,26,-,-,-,27,-,1,66
2,13205,青梅市,Ome-shi,15,233,27,-,1,3,-,15,8,1,1,4,-,-,1,139,54,-,6
2,13206,府中市,Fuchu-shi,31,174,63,-,-,3,-,1,59,1,2,9,2,1,-,9,28,-,59
2,13207,昭島市,Akishima-shi,20,77,26,2,1,2,-,8,13,4,3,4,1,-,-,37,-,-,2
2,13208,調布市,Chofu-shi,21,345,182,11,-,17,-,21,133,3,9,21,3,-,-,52,74,-,1
2,13209,町田市,Machida-shi,18,227,95,6,8,12,1,18,50,3,50,8,2,-,-,60,1,-,8
2,13210,小金井市,Koganei-shi,11,238,153,5,-,22,1,29,96,1,4,5,1,-,1,54,3,-,16
2,13211,小平市,Kodaira-shi,24,275,156,22,1,20,-,28,85,2,19,2,1,3,48,40,-,1,3
2,13212,日野市,Hino-shi,13,129,88,3,-,20,-,20,45,2,5,6,3,-,-,13,10,-,2
2,13213,東村山市,Higashimurayama-shi,13,136,19,1,-,-,1,4,13,2,5,53,1,4,-,16,26,-,10
2,13214,国分寺市,Kokubunji-shi,16,234,135,1,3,25,-,16,90,1,27,27,3,-,13,28,-,-,-
