国公立図書館階層,区分,Classification,館数 Number of libraries,資料費( 令和5年度予算 ) Materials expenditure ( FY2023 budget )( 千円 thousand yen ),蔵書数 Number of books,館外貸出図書点数 (年度中) Number of books lent out ( during the fiscal year ),,
0,総数,Total,394,6919583,63441871,103855629,,
1,国立国会図書館,National Diet Library,1,2272339,12302392,32549,,
2,東京本館,Tokyo Main Library,-,…,5441772,10310,,
2,国会分館,Detached Library in the Diet,-,…,…,11160,,
2,関西館,Kansai-kan,-,…,6334134,1754,,
2,国際子ども図書館,International Library of  Children's Literature,-,…,484522,9325,,
1,都立,Metropolitan,2,341067,2832075,-,,
2,中央,Central,1,…,2287001,-,,
2,多摩,Tama,1,…,545074,-,,
1,区市町村立,Municipal,391,4306177,48307404,103823080,,
2,千代田区,Chiyoda-ku,5,91214,559482,781645,,
2,中央区,Chuo-ku,3,82822,672071,1644268,,
2,港区,Minato-ku,8,133162,1259917,2059688,,
2,新宿区,Shinjuku-ku,11,141157,1079156,2727569,,
2,文京区,Bunkyo-ku,10,118378,1181317,3723216,,
2,台東区,Taito-ku,5,70054,600788,1655124,,
2,墨田区,Sumida-ku,4,72852,592502,1409747,,
2,江東区,Koto-ku,12,189549,1593648,5352772,,
2,品川区,Shinagawa-ku,11,51913,1114398,2921033,,
2,目黒区,Meguro-ku,8,83204,1177063,3726741,,
2,大田区,Ota-ku,16,227779,1813352,5175293,,
2,世田谷区,Setagaya-ku,16,182406,1931838,5702872,,
2,渋谷区,Shibuya-ku,9,67113,843798,1845167,,
2,中野区,Nakano-ku,7,108004,963084,2850124,,
2,杉並区,Suginami-ku,13,165040,1969143,4381105,,
2,豊島区,Toshima-ku,7,94382,799255,2034899,,
2,北区,Kita-ku,14,155628,1376655,3522118,,
2,荒川区,Arakawa-ku,5,97410,873363,2156086,,
2,板橋区,Itabashi-ku,12,136509,1651334,3027244,,
2,練馬区,Nerima-ku,13,194373,1867978,6402875,,
2,足立区,Adachi-ku,15,164742,1471024,2769053,,
2,葛飾区,Katsushika-ku,13,146595,1305303,3034000,,
2,江戸川区,Edogawa-ku,12,204161,1537095,4354844,,
2,八王子市,Hachioji-shi,9,70470,1639529,2123130,,
2,立川市,Tachikawa-shi,9,89081,928100,1388450,,
2,武蔵野市,Musashino-shi,3,91246,980571,2278994,,
2,三鷹市,Mitaka-shi,5,73727,823445,1848957,,
2,青梅市,Ome-shi,10,43778,611699,731125,,
2,府中市,Fuchu-shi,13,104611,1566614,1774996,,
2,昭島市,Akishima-shi,4,40432,500316,729008,,
2,調布市,Chofu-shi,11,86106,1335291,2301797,,
2,町田市,Machida-shi,8,51703,1173902,3004640,,
2,小金井市,Koganei-shi,4,46311,497823,879784,,
2,小平市,Kodaira-shi,11,51491,1173246,1365201,,
2,日野市,Hino-shi,7,64972,803496,1430749,,
