地域階層,地域コード,地域,District,マーク Mark,計 Total／数 Number,計 Total／面積 Area,都市公園 Urban parks／都立公園 Tokyo metropolitan parks／数 Number,都市公園 Urban parks／都立公園 Tokyo metropolitan parks／面積 Area,都市公園 Urban parks／区市町村立公園 Municipal parks／数 Number,都市公園 Urban parks／区市町村立公園 Municipal parks／面積 Area,都市公園 Urban parks／国営公園 National government parks／数 Number,都市公園 Urban parks／国営公園 National government parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／自然ふれあい公園 Nature parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／自然ふれあい公園 Nature parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／海上公園 Marine Parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／海上公園 Marine Parks／面積 Area,都市公園以外の都区市町村立公園 Parks other than urban parks／区市町村立公園 Municipal parks／数 Number,都市公園以外の都区市町村立公園 Parks other than urban parks／区市町村立公園 Municipal parks／面積 Area,その他 Others／国民公園等 National parks／数 Number,その他 Others／国民公園等 National parks／面積 Area,その他 Others／公団・公社の設置する公園 Public housing parks／数　Number,その他 Others／公団・公社の設置する公園 Public housing parks／面積 Area
0,13000,総数,Tokyo-to,,12110,80765254,83,20566828,8586,38134941,2,1761000,6,4130054,40,8730351,3164,2956785,12,3548253,217,937041
1,13100,区部,All ku,,6199,42451721,49,10325657,4569,18422585,1,67000,-,-,40,8730351,1404,1005638,11,3539154,125,361336
2,13101,千代田区,Chiyoda-ku,,51,1708910,1,161637,22,104091,-,-,-,-,-,-,23,6315,5,1436868,-,-
2,13102,中央区,Chuo-ku,,94,640582,1,250216,57,340101,-,-,-,-,2,35502,32,11340,-,-,2,3424
2,13103,港区,Minato-ku,,118,1410390,4,240390,47,267247,-,-,-,-,3,541119,61,96429,1,262243,2,2962
2,13104,新宿区,Shinjuku-ku,,183,1171656,1,210690,177,361128,-,-,-,-,-,-,1,3983,2,593011,2,2844
2,13105,文京区,Bunkyo-ku,,115,553078,2,158657,45,203327,-,-,-,-,-,-,67,29506,1,161588,-,-
2,13106,台東区,Taito-ku,,75,773931,2,556997,50,193301,-,-,-,-,-,-,23,23632,-,-,-,-
2,13107,墨田区,Sumida-ku,,146,785050,3,133593,141,642697,-,-,-,-,-,-,-,-,-,-,2,8760
2,13108,江東区,Koto-ku,,316,5164380,6,1139837,171,1157270,1,67000,-,-,19,2682461,96,34294,-,-,23,83517
2,13109,品川区,Shinagawa-ku,,283,1376388,2,218348,151,520632,-,-,-,-,6,514396,122,121920,-,-,2,1091
2,13110,目黒区,Meguro-ku,,133,490114,-,114276,83,350308,-,-,-,-,-,-,49,24841,-,-,1,690
2,13111,大田区,Ota-ku,,559,2968202,-,-,508,2061879,-,-,-,-,9,839400,37,58873,-,-,5,8051
2,13112,世田谷区,Setagaya-ku,,577,2906665,4,923239,437,1637140,-,-,-,-,-,-,126,129453,1,183991,9,32842
2,13113,渋谷区,Shibuya-ku,,134,1656015,2,581836,130,172639,-,-,-,-,-,-,-,-,1,901452,1,88
2,13114,中野区,Nakano-ku,,198,490372,-,-,168,461299,-,-,-,-,-,-,27,24622,-,-,3,4451
