年次,Year,地域階層,地域コード,地域,District,施設数 Facilities／総数 Total,施設数 Facilities／公立 Public,施設数 Facilities／私立 Private,児童定員 Capacity／総数 Total,児童定員 Capacity／公立 Public,児童定員 Capacity／私立 Private,入所児童数 Children enrolled／総数 Total,入所児童数 Children enrolled／公立 Public,入所児童数 Children enrolled／私立 Private
平成31,2019,0,13000,東京都,Tokyo-to,3066,864,2202,285121,90960,194161,269627,88708,180919
令和2,2020,0,13000,東京都,Tokyo-to,3325,838,2487,303093,88461,214632,283014,85508,197506
令和3,2021,0,13000,東京都,Tokyo-to,3477,821,2656,313364,86641,226723,287937,82115,205822
令和4,2022,0,13000,東京都,Tokyo-to,3569,807,2762,319510,85066,234444,289076,78342,210734
令和5,2023,0,13000,東京都,Tokyo-to,3611,800,2811,320870,83898,236972,288070,75647,212423
令和5,2023,1,13100,区部,All ku,2692,655,2037,232418,69744,162674,204575,62579,141996
令和5,2023,2,13101,千代田区,Chiyoda-ku,24,6,18,1927,507,1420,1566,459,1107
令和5,2023,2,13102,中央区,Chuo-ku,78,16,62,6147,1774,4373,5009,1665,3344
令和5,2023,2,13103,港区,Minato-ku,83,22,61,6746,3131,3615,5339,2649,2690
令和5,2023,2,13104,新宿区,Shinjuku-ku,78,18,60,7558,2268,5290,6087,1976,4111
令和5,2023,2,13105,文京区,Bunkyo-ku,97,20,77,7058,1920,5138,5778,1765,4013
令和5,2023,2,13106,台東区,Taito-ku,51,13,38,4119,1273,2846,3505,1128,2377
令和5,2023,2,13107,墨田区,Sumida-ku,80,24,56,6908,2540,4368,6179,2179,4000
令和5,2023,2,13108,江東区,Koto-ku,180,44,136,16344,4606,11738,14065,4101,9964
令和5,2023,2,13109,品川区,Shinagawa-ku,149,46,103,12176,4386,7790,10695,3951,6744
令和5,2023,2,13110,目黒区,Meguro-ku,97,16,81,7382,1607,5775,6044,1469,4575
令和5,2023,2,13111,大田区,Ota-ku,192,37,155,16297,4407,11890,14857,4099,10758
令和5,2023,2,13112,世田谷区,Setagaya-ku,216,45,171,18411,4559,13852,17615,4500,13115
令和5,2023,2,13113,渋谷区,Shibuya-ku,67,18,49,6240,1721,4519,5027,1431,3596
令和5,2023,2,13114,中野区,Nakano-ku,94,10,84,7561,972,6589,6452,885,5567
令和5,2023,2,13115,杉並区,Suginami-ku,187,32,155,14963,2985,11978,13481,2776,10705
令和5,2023,2,13116,豊島区,Toshima-ku,93,18,75,6837,1867,4970,6094,1730,4364
令和5,2023,2,13117,北区,Kita-ku,97,43,54,9152,4887,4265,8424,4438,3986
令和5,2023,2,13118,荒川区,Arakawa-ku,61,18,43,6044,2051,3993,5502,1872,3630
令和5,2023,2,13119,板橋区,Itabashi-ku,142,38,104,12602,3613,8989,11425,3133,8292
令和5,2023,2,13120,練馬区,Nerima-ku,200,60,140,17214,6644,10570,15964,6343,9621
令和5,2023,2,13121,足立区,Adachi-ku,154,41,113,14185,4165,10020,12149,3441,8708
令和5,2023,2,13122,葛飾区,Katsushika-ku,125,37,88,11825,4214,7611,10033,3438,6595
令和5,2023,2,13123,江戸川区,Edogawa-ku,147,33,114,14722,3647,11075,13285,3151,10134
令和5,2023,1,13200,市部,All shi,889,132,757,86074,12992,73082,81730,12375,69355
令和5,2023,2,13201,八王子市,Hachioji-shi,91,15,76,8878,1027,7851,8742,1045,7697
