年度,Fiscal year,地域階層,地域コード,地域,District,総数 Total,大気汚染 Air pollution,水質汚濁 Water pollution,土壌汚染 Soil pollution,騒音 Noises,振動 Vibration,地盤沈下 Ground subsidence,悪臭 Offensive odors,典型7公害以外計 Other pollution
令和元,2019,0,13000,東京都,Tokyo-to,6273,1102,46,9,3002,423,-,769,922
令和2,2020,0,13000,東京都,Tokyo-to,7720,1235,46,4,4135,595,4,842,859
令和3,2021,0,13000,東京都,Tokyo-to,7383,1047,65,7,3772,633,2,927,930
令和4,2022,0,13000,東京都,Tokyo-to,7838,996,84,14,4028,635,1,921,1159
令和5,2023,0,13000,東京都,Tokyo-to,7723,1059,79,5,3821,599,2,868,1290
令和5,2023,1,13100,区部,All ku,4980,603,9,3,2786,502,1,556,520
令和5,2023,2,13101,千代田区,Chiyoda-ku,204,14,1,-,110,4,-,26,49
令和5,2023,2,13102,中央区,Chuo-ku,170,8,-,-,122,11,-,29,-
令和5,2023,2,13103,港区,Minato-ku,321,12,-,-,244,21,-,28,16
令和5,2023,2,13104,新宿区,Shinjuku-ku,165,28,-,-,105,12,-,17,3
令和5,2023,2,13105,文京区,Bunkyo-ku,16,2,-,-,4,1,-,1,8
令和5,2023,2,13106,台東区,Taito-ku,374,23,-,-,164,13,-,19,155
令和5,2023,2,13107,墨田区,Sumida-ku,364,42,2,-,185,42,-,55,38
令和5,2023,2,13108,江東区,Koto-ku,106,38,5,-,26,-,-,37,-
令和5,2023,2,13109,品川区,Shinagawa-ku,177,23,-,-,99,25,-,14,16
令和5,2023,2,13110,目黒区,Meguro-ku,103,11,-,-,46,9,-,7,30
令和5,2023,2,13111,大田区,Ota-ku,355,38,-,1,157,47,-,56,56
令和5,2023,2,13112,世田谷区,Setagaya-ku,192,26,-,-,111,23,-,20,12
令和5,2023,2,13113,渋谷区,Shibuya-ku,211,21,-,-,126,26,-,27,11
令和5,2023,2,13114,中野区,Nakano-ku,59,8,-,-,32,10,-,5,4
令和5,2023,2,13115,杉並区,Suginami-ku,80,15,-,-,36,8,-,16,5
令和5,2023,2,13116,豊島区,Toshima-ku,155,11,-,-,118,15,-,9,2
令和5,2023,2,13117,北区,Kita-ku,183,24,-,-,111,34,-,13,1
