年次,Year,原因,Cause,区分,Classification,総数 Total／幼児 Toddler,総数 Total／小学生 Elementary school,総数 Total／中学生 Junior high school,死亡 Killed／幼児 Toddler,死亡 Killed／小学生 Elementary school,死亡 Killed／中学生 Junior high school,負傷 Injured／幼児 Toddler,負傷 Injured／小学生 Elementary school,負傷 Injured／中学生 Junior high school,
平成31・令和元,2019,総数,Total,,,576,1149,372,1,-,-,575,1149,372,
令和2,2020,総数,Total,,,465,856,297,2,2,1,463,854,296,
令和3,2021,総数,Total,,,488,975,335,2,1,-,486,974,335,
令和4,2022,総数,Total,,,475,1035,400,-,-,1,475,1035,399,
令和5,2023,総数,Total,,,518,1183,462,-,3,-,518,1180,462,
令和5,2023,歩行者の場合,Pedestrians,,,152,363,66,-,3,-,152,360,66,
令和5,2023,歩行者の場合,Pedestrians,信号無視,Ignoring traffic light signals,2,12,1,-,-,-,2,12,1,
令和5,2023,歩行者の場合,Pedestrians,通行区分違反,Lane violation ,-,-,-,-,-,-,-,-,-,
令和5,2023,歩行者の場合,Pedestrians,横断歩道外横断,Crossing outside pedestrian crossings ,2,12,2,-,1,-,2,11,2,
令和5,2023,歩行者の場合,Pedestrians,斜め横断,Diagonal crossing,-,5,-,-,-,-,-,5,-,
令和5,2023,歩行者の場合,Pedestrians,駐停車車両の直前 ・後横断,Crossing immediately in front of or behind a parked vehicle,1,5,2,-,-,-,1,5,2,
令和5,2023,歩行者の場合,Pedestrians,走行車両の直前・後横断,Crossing immediately in front of or behind a vehicle in motion,-,4,1,-,-,-,-,4,1,
令和5,2023,歩行者の場合,Pedestrians,横断禁止場所横断,Crossing at prohibited places,-,-,-,-,-,-,-,-,-,
令和5,2023,歩行者の場合,Pedestrians,幼児のひとり歩き,Toddlers walking alone,8,-,-,-,-,-,8,-,-,
令和5,2023,歩行者の場合,Pedestrians,踏切り不注意,Lack of caution at railroad crossings,-,-,-,-,-,-,-,-,-,
令和5,2023,歩行者の場合,Pedestrians,路上遊戯,Playing on road,-,7,1,-,-,-,-,7,1,
令和5,2023,歩行者の場合,Pedestrians,飛び出し,Rushing out into the street,16,62,4,-,1,-,16,61,4,
令和5,2023,歩行者の場合,Pedestrians,その他の違反,Other violations,1,3,1,-,-,-,1,3,1,
令和5,2023,歩行者の場合,Pedestrians,調査不能,Cause undetermined,-,-,-,-,-,-,-,-,-,
令和5,2023,歩行者の場合,Pedestrians,違反なし,No violation,106,247,50,-,-,-,106,247,50,
令和5,2023,歩行者の場合,Pedestrians,第3当事者以下,Third party involvement,16,6,4,-,1,-,16,5,4,
令和5,2023,自転車乗車の場合,Riding on bicycles,,,239,702,341,-,-,-,239,702,341,
令和5,2023,自転車乗車の場合,Riding on bicycles,信号無視,Ignoring traffic light signals,-,8,5,-,-,-,-,8,5,
令和5,2023,自転車乗車の場合,Riding on bicycles,通行区分違反,Lane violation ,-,2,2,-,-,-,-,2,2,
令和5,2023,自転車乗車の場合,Riding on bicycles,横断・転回禁止,Violation of rules prohibiting crossing or making U-turns,-,1,-,-,-,-,-,1,-,
令和5,2023,自転車乗車の場合,Riding on bicycles,右・左折違反,Right or left turns violation,-,-,-,-,-,-,-,-,-,
令和5,2023,自転車乗車の場合,Riding on bicycles,交差点安全進行義務違反,Violation of duty to use caution at intersections,-,46,29,-,-,-,-,46,29,
令和5,2023,自転車乗車の場合,Riding on bicycles,徐行違反,Slow down violation,1,-,1,-,-,-,1,-,1,
令和5,2023,自転車乗車の場合,Riding on bicycles,一時不停止,Stop sign violation,-,58,25,-,-,-,-,58,25,
令和5,2023,自転車乗車の場合,Riding on bicycles,安全運転義務違反　,Violation of safe driving obligations,12,306,161,-,-,-,12,306,161,
令和5,2023,自転車乗車の場合,Riding on bicycles,その他の違反,Other violations,-,6,5,-,-,-,-,6,5,
令和5,2023,自転車乗車の場合,Riding on bicycles,調査不能,Cause undetermined,1,6,1,-,-,-,1,6,1,
令和5,2023,自転車乗車の場合,Riding on bicycles,違反なし,No violation,13,204,108,-,-,-,13,204,108,
令和5,2023,自転車乗車の場合,Riding on bicycles,第3当事者以下　,Third party involvement,212,65,4,-,-,-,212,65,4,
令和5,2023,その他,Others,,,127,118,55,-,-,-,127,118,55,
,,,,,,,,,,,,,,,
東京都統計年鑑（令和5年）TOKYO STATISTICAL YEARBOOK ( 2023 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,　
20-15  子供の交通事故死傷者数 （平成31・令和元～令和5年） 20-15 CHILDREN KILLED OR INJURED IN TRAFFIC ACCIDENTS ( 2019-2023 ),,,,,,,,,,,,,,,
資料：警視庁総務部文書課 Source: Metropolitan Police Department， TMG,,,,,,,,,,,,,,,
