地域階層,地域コード,地域,District,マーク Mark,総数 Total,交通事故 Traffic accidents,火災事故 Fire accidents,運動競技事故 Sports accidents,自然災害事故 Natural disasters accidents,水難事故 Drowning accidents,労働災害事故 Labor accidents,一般負傷 General injuries,自損行為 Self-inflicted injuries,加害 Assault,急病 Acute illness,転院搬送 Transported to a different hospital,医師搬送 Doctor transport,資器材等輸送 Transport of equipment， etc.,その他 Other responses
0,13000,総数,Tokyo-to,,918311,42507,3514,5414,14,568,5518,162950,7332,5475,629395,42814,168,618,12024
1,13100,区部,All ku,,668841,30349,2548,3671,3,417,4266,118398,5251,4393,458957,30995,135,489,8969
2,13101,千代田区,Chiyoda-ku,,15157,620,69,100,-,3,210,3012,73,137,10110,644,-,7,172
2,13102,中央区,Chuo-ku,,15404,713,70,44,-,22,189,2689,101,120,10347,883,-,-,226
2,13103,港区,Minato-ku,,25942,1301,155,133,-,14,327,4713,158,251,17615,848,1,7,419
2,13104,新宿区,Shinjuku-ku,,39386,1427,147,203,-,8,252,7050,482,556,26443,2059,-,14,745
2,13105,文京区,Bunkyo-ku,,14694,570,66,142,-,7,82,2579,83,75,9468,1439,-,10,173
2,13106,台東区,Taito-ku,,20736,811,71,54,1,19,129,3967,168,239,14421,591,-,-,265
2,13107,墨田区,Sumida-ku,,20161,920,83,104,-,12,112,3325,148,115,13634,1455,-,10,243
2,13108,江東区,Koto-ku,,34121,1588,113,294,-,45,366,5744,212,165,23526,1509,112,16,431
2,13109,品川区,Shinagawa-ku ,,25608,1097,108,156,-,17,201,4715,191,135,17474,1217,-,1,296
2,13110,目黒区,Meguro-ku,,15891,820,74,67,-,2,87,3017,110,59,10727,687,2,20,219
2,13111,大田区,Ota-ku ,,46672,2353,169,204,-,32,339,8474,325,227,31876,2144,4,8,517
2,13112,世田谷区,Setagaya-ku,,51224,2397,159,406,1,14,258,9296,340,218,35050,2266,2,149,668
2,13113,渋谷区,Shibuya-ku,,22717,1039,104,201,-,3,264,4204,158,260,15132,946,10,12,384
2,13114,中野区,Nakano-ku,,20746,787,82,91,-,7,72,3774,204,119,14488,783,1,3,335
2,13115,杉並区,Suginami-ku,,31930,1491,120,188,-,13,146,6059,280,170,21994,898,1,91,479
2,13116,豊島区,Toshima-ku,,23799,849,102,142,1,4,138,4359,228,233,16686,749,1,1,306
2,13117,北区,Kita-ku,,25208,926,74,157,-,15,89,4462,158,127,17785,1122,-,8,285
2,13118,荒川区,Arakawa-ku ,,14713,563,65,37,-,11,69,2585,100,90,10232,770,-,28,163
2,13119,板橋区,Itabashi-ku,,36909,1698,144,156,-,18,182,6128,296,173,25845,1775,-,16,478
2,13120,練馬区,Nerima-ku,,42208,1942,135,200,-,18,140,7214,367,191,29461,2021,-,27,492
2,13121,足立区,Adachi-ku,,50469,2634,167,204,-,43,256,8160,488,302,34359,3165,-,39,652
2,13122,葛飾区,Katsushika-ku,,32398,1574,120,165,-,37,157,5501,245,181,22397,1622,-,11,388
2,13123,江戸川区,Edogawa-ku ,,42748,2229,151,223,-,53,201,7371,336,250,29887,1402,1,11,633
3,,消防事務受託地区,Entrusted districts,,249248,12137,965,1743,11,149,1252,44550,2080,1082,170433,11646,16,129,3055
3,,その他,Others,※,222,21,1,-,-,2,-,2,1,-,5,173,17,-,-
,,,,,,,,,,,,,,,,,,,
東京都統計年鑑（令和5年）TOKYO STATISTICAL YEARBOOK ( 2023 ) 20  司法・警察・消防 20  JUSTICE， POLICE， AND FIRE FIGHTING SERVICES,,,,,,,,,,,,,,,,,,,
20-19  地域別種類別救急件数 （令和5年） 20-19  EMERGENCY CASES BY DISTRICT AND KIND ( 2023 ),,,,,,,,,,,,,,,,,,,
この表は， 区部及び消防事務受託地区で， 東京消防庁が扱った件数である。,,,,,,,,,,,,,,,,,,,
Figures refer to the number of cases handled by the Tokyo Fire Department in the special ward (ku) area and entrusted districts.,,,,,,,,,,,,,,,,,,,
注) ※東京消防庁管轄区域以外の地域をいう。,,,,,,,,,,,,,,,,,,,
Note: ※Districts outside the jurisdiction of the Tokyo Fire Department.,,,,,,,,,,,,,,,,,,,
資料：東京消防庁企画調整部企画課 Source: Tokyo Fire Department,,,,,,,,,,,,,,,,,,,
地域階層(0:東京都総数　1:区部　2:区市町村　3:消防事務受託地区・その他),,,,,,,,,,,,,,,,,,,
