GEOID,NAME,state,county,tract,pct_age65p,pct_alone65p,poverty_rate,pop_total
36047009202,"Census Tract 92.02, Kings County, New York",36,047,009202,7.47,82.61,32.64,3453
36047009401,"Census Tract 94.01, Kings County, New York",36,047,009401,7.63,76.63,28.96,2293
36047009402,"Census Tract 94.02, Kings County, New York",36,047,009402,8.85,75.38,19.43,2746
36047009600,"Census Tract 96, Kings County, New York",36,047,009600,13.18,69.33,22.11,5858
36047009800,"Census Tract 98, Kings County, New York",36,047,009800,8.64,75.95,23.89,6021
36047010000,"Census Tract 100, Kings County, New York",36,047,010000,12.76,64.13,22.63,5978
36047010100,"Census Tract 101, Kings County, New York",36,047,010100,8.42,80.59,11.23,3944
36047010200,"Census Tract 102, Kings County, New York",36,047,010200,12.59,68.25,12.34,4844
36047010401,"Census Tract 104.01, Kings County, New York",36,047,010401,12.5,79.6,18.32,2152
36047010402,"Census Tract 104.02, Kings County, New York",36,047,010402,14.8,72.49,37.99,2256
36047010601,"Census Tract 106.01, Kings County, New York",36,047,010601,11.27,67.0,28.6,2315
36047010602,"Census Tract 106.02, Kings County, New York",36,047,010602,15.27,51.45,31.56,1952
36047010801,"Census Tract 108.01, Kings County, New York",36,047,010801,14.0,65.71,27.29,1957
36047010802,"Census Tract 108.02, Kings County, New York",36,047,010802,16.77,65.94,34.32,2022
36047011000,"Census Tract 110, Kings County, New York",36,047,011000,10.31,67.83,22.13,2356
36047011200,"Census Tract 112, Kings County, New York",36,047,011200,15.98,64.53,30.12,6088
36047011400,"Census Tract 114, Kings County, New York",36,047,011400,20.93,75.61,40.29,3846
36047011600,"Census Tract 116, Kings County, New York",36,047,011600,7.72,77.93,26.7,3510
36047011700,"Census Tract 117, Kings County, New York",36,047,011700,10.85,75.98,12.02,2949
36047011800,"Census Tract 118, Kings County, New York",36,047,011800,12.05,76.26,19.02,1951
36047011901,"Census Tract 119.01, Kings County, New York",36,047,011901,14.58,76.06,13.42,1358
36047011902,"Census Tract 119.02, Kings County, New York",36,047,011902,,,,0
36047012000,"Census Tract 120, Kings County, New York",36,047,012000,6.86,77.56,16.73,1327
36047012100,"Census Tract 121, Kings County, New York",36,047,012100,6.3,88.82,7.37,1968
36047012200,"Census Tract 122, Kings County, New York",36,047,012200,10.94,70.38,28.15,5144
36047012600,"Census Tract 126, Kings County, New York",36,047,012600,11.47,71.62,17.58,2799
36047012700,"Census Tract 127, Kings County, New York",36,047,012700,13.85,72.01,30.2,4066
36047012801,"Census Tract 128.01, Kings County, New York",36,047,012801,20.54,61.65,32.95,2279
36047012901,"Census Tract 129.01, Kings County, New York",36,047,012901,7.39,84.41,7.13,2246
36047012902,"Census Tract 129.02, Kings County, New York",36,047,012902,5.54,88.53,9.34,2724
36047013000,"Census Tract 130, Kings County, New York",36,047,013000,10.35,78.55,11.02,4416
36047013100,"Census Tract 131, Kings County, New York",36,047,013100,13.36,78.04,10.38,4267
36047013200,"Census Tract 132, Kings County, New York",36,047,013200,16.57,54.53,24.1,2299
36047013300,"Census Tract 133, Kings County, New York",36,047,013300,12.39,74.36,3.27,4465
36047013400,"Census Tract 134, Kings County, New York",36,047,013400,13.98,69.24,11.53,4163
36047013500,"Census Tract 135, Kings County, New York",36,047,013500,6.2,88.71,4.39,4240
36047013600,"Census Tract 136, Kings County, New York",36,047,013600,11.88,75.34,14.27,3829
36047013700,"Census Tract 137, Kings County, New York",36,047,013700,9.93,84.27,8.4,3484
36047013800,"Census Tract 138, Kings County, New York",36,047,013800,13.72,67.94,9.25,3527
36047013900,"Census Tract 139, Kings County, New York",36,047,013900,8.67,82.38,4.6,3574
36047014000,"Census Tract 140, Kings County, New York",36,047,014000,21.35,62.86,14.97,1944
36047014101,"Census Tract 141.01, Kings County, New York",36,047,014101,4.55,92.71,11.17,968
36047014102,"Census Tract 141.02, Kings County, New York",36,047,014102,12.4,80.08,10.95,1863
36047014200,"Census Tract 142, Kings County, New York",36,047,014200,15.27,67.77,6.95,2992
36047014300,"Census Tract 143, Kings County, New York",36,047,014300,8.78,85.43,7.86,3599
36047014500,"Census Tract 145, Kings County, New York",36,047,014500,6.06,89.7,11.67,3909
36047014700,"Census Tract 147, Kings County, New York",36,047,014700,5.06,86.15,12.65,2646
36047014800,"Census Tract 148, Kings County, New York",36,047,014800,24.24,60.78,9.98,1242
36047014901,"Census Tract 149.01, Kings County, New York",36,047,014901,9.34,82.58,9.0,1478
36047014902,"Census Tract 149.02, Kings County, New York",36,047,014902,7.2,88.67,6.16,4569
36047015000,"Census Tract 150, Kings County, New York",36,047,015000,27.89,50.08,9.93,1592
36047015100,"Census Tract 151, Kings County, New York",36,047,015100,15.88,75.2,2.68,4170
36047015200,"Census Tract 152, Kings County, New York",36,047,015200,19.66,64.82,12.99,2650
36047015300,"Census Tract 153, Kings County, New York",36,047,015300,20.4,67.13,3.8,2530
36047015400,"Census Tract 154, Kings County, New York",36,047,015400,0.0,100.0,100.0,10
36047015500,"Census Tract 155, Kings County, New York",36,047,015500,12.53,78.4,4.02,3927
36047015700,"Census Tract 157, Kings County, New York",36,047,015700,12.86,80.61,4.34,4332
36047015900,"Census Tract 159, Kings County, New York",36,047,015900,12.81,80.22,8.91,4778
